因素,扰动比例,参数值,全天购电量(kWh),全天购电费(元),全天充电量(kWh),全天放电量(kWh),求解状态
负荷,-0.1,0.9,48069.10647740741,28073.627584719536,19103.236074074077,15473.62122,Optimization terminated successfully. (HiGHS Status 7: Optimal)
负荷,-0.05,0.95,53832.56760192386,31552.184280896938,20220.187229423864,16378.351655833332,Optimization terminated successfully. (HiGHS Status 7: Optimal)
负荷,0.0,1.0,59482.69899835391,35126.948589289634,20740.66613168725,16799.939566666668,Optimization terminated successfully. (HiGHS Status 7: Optimal)
负荷,0.05,1.05,65197.34555822016,38834.167695855984,21600.698525720163,17496.565805833336,Optimization terminated successfully. (HiGHS Status 7: Optimal)
负荷,0.1,1.1,70793.08703390947,42745.80854907042,21834.9146872428,17686.28089666667,Optimization terminated successfully. (HiGHS Status 7: Optimal)
光伏,-0.1,0.9,65240.4518501646,38422.56108838365,21843.136053497947,17692.94020333333,Optimization terminated successfully. (HiGHS Status 7: Optimal)
光伏,-0.05,0.95,62418.12221933127,36697.187485855306,21589.51580349794,17487.507800833333,Optimization terminated successfully. (HiGHS Status 7: Optimal)
光伏,0.0,1.0,59482.69899835391,35126.948589289634,20740.66613168725,16799.939566666668,Optimization terminated successfully. (HiGHS Status 7: Optimal)
光伏,0.05,1.05,56711.75880806584,33630.57996634062,20757.516621399176,16813.58846333333,Optimization terminated successfully. (HiGHS Status 7: Optimal)
光伏,0.1,1.1,53824.39923440329,32211.933456573755,20161.633514403293,16330.923146666662,Optimization terminated successfully. (HiGHS Status 7: Optimal)
电价,-0.1,0.9,59482.69899835391,31614.253730360666,20740.66613168725,16799.939566666668,Optimization terminated successfully. (HiGHS Status 7: Optimal)
电价,-0.05,0.95,59482.69899835391,33370.60115982515,20740.66613168725,16799.939566666668,Optimization terminated successfully. (HiGHS Status 7: Optimal)
电价,0.0,1.0,59482.69899835391,35126.948589289634,20740.66613168725,16799.939566666668,Optimization terminated successfully. (HiGHS Status 7: Optimal)
电价,0.05,1.05,59482.69899835391,36883.29601875412,20740.66613168725,16799.939566666668,Optimization terminated successfully. (HiGHS Status 7: Optimal)
电价,0.1,1.1,59482.69899835391,38639.643448218594,20740.66613168725,16799.939566666668,Optimization terminated successfully. (HiGHS Status 7: Optimal)
充放电效率,-0.1,0.81,63563.129005248586,37888.249121037356,23324.095876461917,15302.939304546668,Optimization terminated successfully. (HiGHS Status 7: Optimal)
充放电效率,-0.05,0.855,61564.42931913637,36447.92210903761,22390.396452469708,16367.939566666664,Optimization terminated successfully. (HiGHS Status 7: Optimal)
充放电效率,0.0,0.9,59482.69899835391,35126.948589289634,20740.66613168725,16799.939566666668,Optimization terminated successfully. (HiGHS Status 7: Optimal)
充放电效率,0.05,0.9450000000000001,57676.98988305665,33898.269805588876,19958.097216389986,17823.07976666667,Optimization terminated successfully. (HiGHS Status 7: Optimal)
充放电效率,0.1,0.9900000000000001,55973.923969657844,32695.44740745634,21706.107352991185,21274.155816666665,Optimization terminated successfully. (HiGHS Status 7: Optimal)
