序号,自然时段,附件1时间标签,电价(元/kWh),小区负载(kW),光伏预测功率(kW),净负荷功率(kW),负载电量(kWh),光伏电量(kWh),购电量(kWh),充电量(kWh),放电量(kWh),弃光量(kWh),时段末SOC(kWh)
1,0:00-0:10,00:10:00,0.4248,3439.8466,0.0,3439.8466,573.3077666666666,0.0,1406.6410999999998,833.3333333333333,0.0,0.0,6750.0
2,0:10-0:20,00:20:00,0.4245,3437.9792,0.0,3437.9792,572.9965333333333,0.0,1406.3298666666665,833.3333333333333,0.0,0.0,7500.0
3,0:20-0:30,00:30:00,0.4269,3444.3031,0.0,3444.3031,574.0505166666667,0.0,1407.38385,833.3333333333333,0.0,0.0,8250.0
4,0:30-0:40,00:40:00,0.4272,3454.4437,0.0,3454.4437,575.7406166666666,0.0,1409.07395,833.3333333333333,0.0,0.0,9000.0
5,0:40-0:50,00:50:00,0.4271,3458.8273,0.0,3458.8273,576.4712166666666,0.0,1409.8045499999998,833.3333333333333,0.0,0.0,9750.0
6,0:50-1:00,01:00:00,0.4285,3459.8401,0.0,3459.8401,576.6400166666666,0.0,576.6400166666666,0.0,0.0,0.0,9750.0
7,1:00-1:10,01:10:00,0.4311,3467.1582,0.0,3467.1582,577.8597,0.0,577.8597,0.0,0.0,0.0,9750.0
8,1:10-1:20,01:20:00,0.4302,3467.9632,0.0,3467.9632,577.9938666666667,0.0,577.9938666666667,0.0,0.0,0.0,9750.0
9,1:20-1:30,01:30:00,0.4279,3466.9683,0.0,3466.9683,577.82805,0.0,911.1613833333333,333.3333333333333,0.0,0.0,10050.0
10,1:30-1:40,01:40:00,0.4312,3482.4927,0.0,3482.4927,580.41545,0.0,580.41545,0.0,0.0,0.0,10050.0
11,1:40-1:50,01:50:00,0.4333,3495.0841,0.0,3495.0841,582.5140166666666,0.0,582.5140166666666,0.0,0.0,0.0,10050.0
12,1:50-2:00,02:00:00,0.4311,3498.4443,0.0,3498.4443,583.0740499999999,0.0,583.0740499999999,0.0,0.0,0.0,10050.0
13,2:00-2:10,02:10:00,0.4293,3505.2295,0.0,3505.2295,584.2049166666666,0.0,584.2049166666666,0.0,0.0,0.0,10050.0
14,2:10-2:20,02:20:00,0.4324,3512.6387,0.0,3512.6387,585.4397833333333,0.0,585.4397833333333,0.0,0.0,0.0,10050.0
15,2:20-2:30,02:30:00,0.4367,3516.8685,0.0,3516.8685,586.1447499999999,0.0,586.1447499999999,0.0,0.0,0.0,10050.0
16,2:30-2:40,02:40:00,0.4348,3517.9246,0.0,3517.9246,586.3207666666666,0.0,586.3207666666666,0.0,0.0,0.0,10050.0
17,2:40-2:50,02:50:00,0.4335,3518.5518,0.0,3518.5518,586.4253,0.0,586.4253,0.0,0.0,0.0,10050.0
18,2:50-3:00,03:00:00,0.4357,3521.0976,0.0,3521.0976,586.8496,0.0,586.8496,0.0,0.0,0.0,10050.0
19,3:00-3:10,03:10:00,0.4374,3526.9261,0.0,3526.9261,587.8210166666667,0.0,587.8210166666667,0.0,0.0,0.0,10050.0
20,3:10-3:20,03:20:00,0.4371,3537.2854,0.0,3537.2854,589.5475666666666,0.0,589.5475666666666,0.0,0.0,0.0,10050.0
21,3:20-3:30,03:30:00,0.4356,3544.8808,0.0,3544.8808,590.8134666666666,0.0,590.8134666666666,0.0,0.0,0.0,10050.0
22,3:30-3:40,03:40:00,0.4353,3541.2787,0.0,3541.2787,590.2131166666666,0.0,590.2131166666666,0.0,0.0,0.0,10050.0
23,3:40-3:50,03:50:00,0.436,3546.3976,0.0,3546.3976,591.0662666666666,0.0,591.0662666666666,0.0,0.0,0.0,10050.0
24,3:50-4:00,04:00:00,0.4378,3560.207,0.0,3560.207,593.3678333333332,0.0,593.3678333333332,0.0,0.0,0.0,10050.0
25,4:00-4:10,04:10:00,0.4401,3561.9581,0.0,3561.9581,593.6596833333333,0.0,593.6596833333333,0.0,0.0,0.0,10050.0
26,4:10-4:20,04:20:00,0.4389,3556.7183,0.0,3556.7183,592.7863833333333,0.0,592.7863833333333,0.0,0.0,0.0,10050.0
27,4:20-4:30,04:30:00,0.4364,3560.0272,0.0,3560.0272,593.3378666666666,0.0,593.3378666666666,0.0,0.0,0.0,10050.0
28,4:30-4:40,04:40:00,0.4393,3580.654,0.5994,3580.0546,596.7756666666667,0.0999,596.6757666666666,0.0,0.0,0.0,10050.0
29,4:40-4:50,04:50:00,0.4422,3586.916,0.2345,3586.6815,597.8193333333334,0.03908333333333333,597.78025,0.0,0.0,0.0,10050.0
30,4:50-5:00,05:00:00,0.4395,3571.2635,0.2885,3570.975,595.2105833333333,0.048083333333333325,595.1624999999999,0.0,0.0,0.0,10050.0
31,5:00-5:10,05:10:00,0.4333,3562.3171,18.6781,3543.639,593.7195166666667,3.1130166666666668,590.6065,0.0,0.0,0.0,10050.0
32,5:10-5:20,05:20:00,0.4439,3591.3809,54.4698,3536.9111000000003,598.5634833333334,9.078299999999999,589.4851833333333,0.0,0.0,0.0,10050.0
33,5:20-5:30,05:30:00,0.4301,3579.7045,108.9718,3470.7327,596.6174166666666,18.161966666666665,578.4554499999999,0.0,0.0,0.0,10050.0
34,5:30-5:40,05:40:00,0.3713,3486.119,184.1603,3301.9587,581.0198333333333,30.693383333333333,1383.659783333333,833.3333333333333,0.0,0.0,10800.0
35,5:40-5:50,05:50:00,0.5708,3823.8994,277.0582,3546.8412,637.3165666666666,46.17636666666667,591.1401999999999,0.0,0.0,0.0,10800.0
36,5:50-6:00,06:00:00,0.9099,4398.0727,388.5494,4009.5233,733.0121166666665,64.75823333333332,0.0,0.0,668.2538833333332,0.0,10057.495685185186
37,6:00-6:10,06:10:00,0.9368,4454.0123,521.2803,3932.7320000000004,742.3353833333333,86.88005,0.0,0.0,655.4553333333333,0.0,9329.211981481481
38,6:10-6:20,06:20:00,0.8758,4371.7919,672.7677,3699.0242000000003,728.6319833333333,112.12795,0.0,0.0,616.5040333333334,0.0,8644.2075
39,6:20-6:30,06:30:00,0.8759,4392.953,844.2261,3548.7269000000006,732.1588333333334,140.70434999999998,0.0,0.0,591.4544833333334,0.0,7987.035851851852
40,6:30-6:40,06:40:00,0.8601,4384.5956,1039.6744,3344.9211999999998,730.7659333333332,173.27906666666667,0.0,0.0,557.4868666666666,0.0,7367.606000000001
41,6:40-6:50,06:50:00,0.8442,4434.7757,1259.3375,3175.4382,739.1292833333333,209.88958333333335,0.0,0.0,529.2397,0.0,6779.561888888889
42,6:50-7:00,07:00:00,0.8334,4523.4561,1508.6318,3014.8243,753.90935,251.43863333333334,0.0,0.0,502.4707166666667,0.0,6221.261092592593
43,7:00-7:10,07:10:00,0.8092,4524.0721,1791.4107,2732.6614000000004,754.0120166666667,298.56845,0.0,0.0,455.4435666666667,0.0,5715.212685185185
44,7:10-7:20,07:20:00,0.7972,4545.8867,2085.4865,2460.4002,757.6477833333333,347.5810833333333,0.0,0.0,410.0667,0.0,5259.583018518519
45,7:20-7:30,07:30:00,0.7644,4523.2418,2381.2611,2141.9806999999996,753.8736333333333,396.87685,0.0,0.0,356.99678333333327,0.0,4862.919925925926
46,7:30-7:40,07:40:00,0.6899,4383.3566,2683.1752,1700.1814,730.5594333333333,447.1958666666667,0.0,0.0,283.36356666666666,0.0,4548.071518518518
47,7:40-7:50,07:50:00,0.86,4910.4599,2986.3552,1924.1046999999999,818.4099833333332,497.72586666666666,0.0,0.0,320.68411666666657,0.0,4191.755833333333
48,7:50-8:00,08:00:00,1.1617,5799.7327,3289.204,2510.5286999999994,966.6221166666666,548.2006666666666,0.0,0.0,418.42144999999994,0.0,3726.8431111111104
49,8:00-8:10,08:10:00,1.1683,5884.826,3593.3613,2291.4647,980.8043333333333,598.89355,0.0,0.0,381.91078333333326,0.0,3302.4977962962957
50,8:10-8:20,08:20:00,1.0956,5748.0713,3890.7332,1857.3380999999995,958.0118833333332,648.4555333333333,0.0,0.0,309.55634999999995,0.0,2958.5462962962956
51,8:20-8:30,08:30:00,1.0849,5769.0581,4181.3417,1587.7164000000002,961.5096833333333,696.8902833333333,0.0,0.0,264.61940000000004,0.0,2664.52474074074
52,8:30-8:40,08:40:00,1.061,5754.2105,4471.7657,1282.4448000000002,959.0350833333333,745.2942833333333,0.0,0.0,213.74080000000004,0.0,2427.0349629629623
53,8:40-8:50,08:50:00,1.043,5824.1807,4752.8272,1071.3535000000002,970.6967833333333,792.1378666666666,0.0,0.0,178.55891666666673,0.0,2228.6361666666658
54,8:50-9:00,09:00:00,1.036,5954.2601,5021.9074,932.3527000000004,992.3766833333334,836.9845666666666,0.0,0.0,155.39211666666677,0.0,2055.9782592592583
55,9:00-9:10,09:10:00,1.0147,5958.9696,5285.4126,673.5570000000007,993.1616,880.9020999999999,0.0,0.0,112.25950000000012,0.0,1931.2454814814803
56,9:10-9:20,09:20:00,0.9922,5929.5554,5543.1742,386.3811999999998,988.2592333333333,923.8623666666667,0.0,0.0,64.3968666666666,0.0,1859.6934074074063
57,9:20-9:30,09:30:00,0.97,5923.7828,5788.4093,135.3734999999997,987.2971333333332,964.7348833333333,0.0,0.0,22.56224999999995,0.0,1834.6242407407397
58,9:30-9:40,09:40:00,0.9422,5907.586,6012.1304,-104.54439999999977,984.5976666666667,1002.0217333333333,0.0,17.42406666666659,0.0,0.0,1850.3059007407396
59,9:40-9:50,09:50:00,0.9569,5899.1262,6216.1528,-317.02660000000014,983.1877,1036.0254666666665,0.0,52.83776666666654,0.0,0.0,1897.8598907407395
60,9:50-10:00,10:00:00,0.9977,5902.2196,6409.5941,-507.3744999999999,983.7032666666667,1068.2656833333333,0.0,84.56241666666665,0.0,0.0,1973.9660657407394
61,10:00-10:10,10:10,0.9919,5897.4793,6599.3808,-701.9014999999999,982.9132166666666,1099.8968,0.0,116.9835833333334,0.0,0.0,2079.2512907407395
62,10:10-10:20,10:20,0.9588,5886.7568,6766.7204,-879.9636,981.1261333333333,1127.7867333333334,0.0,146.66060000000004,0.0,0.0,2211.2458307407396
63,10:20-10:30,10:30,0.9549,5873.4708,6914.5923,-1041.1215000000002,978.9118,1152.43205,0.0,173.52024999999992,0.0,0.0,2367.4140557407395
64,10:30-10:40,10:40,0.9839,5858.0308,7064.2053,-1206.1744999999992,976.3384666666667,1177.36755,0.0,201.02908333333323,0.0,0.0,2548.3402307407396
65,10:40-10:50,10:50,0.799,5844.9948,7197.4315,-1352.4366999999993,974.1658,1199.5719166666665,0.0,225.40611666666655,0.0,0.0,2751.2057357407393
66,10:50-11:00,11:00,0.5025,5839.0587,7303.1142,-1464.0555000000004,973.1764499999999,1217.1857,0.0,244.00925000000007,0.0,0.0,2970.8140607407395
67,11:00-11:10,11:10,0.4662,5838.7103,7387.6848,-1548.9745000000003,973.1183833333332,1231.2808,575.1709166666665,833.3333333333333,0.0,0.0,3720.8140607407395
68,11:10-11:20,11:20,0.5007,5823.4378,7459.227,-1635.7892000000002,970.5729666666666,1243.2044999999998,0.0,272.6315333333332,0.0,0.0,3966.1824407407394
69,11:20-11:30,11:30,0.4827,5814.7932,7520.7191,-1705.9259000000002,969.1322,1253.4531833333333,0.0,284.3209833333333,0.0,0.0,4222.07132574074
70,11:30-11:40,11:40,0.4785,5832.3951,7568.2039,-1735.8088000000007,972.06585,1261.3673166666667,179.2771713991827,468.5786380658495,0.0,0.0,4643.792100000004
71,11:40-11:50,11:50,0.4662,5712.901,7592.1539,-1879.2529000000004,952.1501666666666,1265.3589833333333,520.1245166666665,833.3333333333333,0.0,0.0,5393.792100000004
72,11:50-12:00,12:00,0.4432,5519.4607,7601.0433,-2081.5826000000006,919.9101166666666,1266.84055,486.40289999999993,833.3333333333333,0.0,0.0,6143.792100000004
73,12:00-12:10,12:10,0.4411,5494.7907,7612.316,-2117.5253000000002,915.7984499999999,1268.7193333333332,480.4124499999999,833.3333333333333,0.0,0.0,6893.792100000004
74,12:10-12:20,12:20,0.4551,5514.4524,7602.6524,-2088.2,919.0754,1267.1087333333332,485.29999999999995,833.3333333333333,0.0,0.0,7643.792100000004
75,12:20-12:30,12:30,0.4463,5485.829,7554.1872,-2068.3582000000006,914.3048333333332,1259.0312,488.6069666666666,833.3333333333333,0.0,0.0,8393.792100000004
76,12:30-12:40,12:40,0.4113,5462.3628,7472.7384,-2010.3756000000003,910.3937999999999,1245.4564,498.27073333333317,833.3333333333333,0.0,0.0,9143.792100000004
77,12:40-12:50,12:50,0.5682,5566.1066,7393.4172,-1827.3105999999998,927.6844333333333,1232.2361999999998,0.0,304.5517666666665,0.0,0.0,9417.888690000003
78,12:50-13:00,13:00,0.8279,5725.7548,7312.7979,-1587.0430999999999,954.2924666666665,1218.79965,0.0,264.5071833333334,0.0,0.0,9655.945155000003
79,13:00-13:10,13:10,0.8636,5739.4957,7194.541,-1455.0452999999998,956.5826166666667,1199.0901666666666,0.0,242.50754999999992,0.0,0.0,9874.201950000002
80,13:10-13:20,13:20,0.8416,5714.6836,7053.1371,-1338.4534999999996,952.4472666666667,1175.5228499999998,0.0,223.07558333333316,0.0,0.0,10074.969975000002
81,13:20-13:30,13:30,0.8618,5717.8505,6910.4064,-1192.5559000000003,952.9750833333333,1151.7343999999998,0.0,198.75931666666656,0.0,0.0,10253.853360000001
82,13:30-13:40,13:40,0.8623,5708.2486,6772.4075,-1064.1589000000004,951.3747666666666,1128.7345833333334,0.0,177.3598166666668,0.0,0.0,10413.477195000001
83,13:40-13:50,13:50,0.9026,5696.9182,6607.36,-910.4417999999996,949.4863666666666,1101.2266666666665,0.0,151.74029999999982,0.0,0.0,10550.043465
84,13:50-14:00,14:00,0.9754,5692.2983,6412.5085,-720.2101999999995,948.7163833333334,1068.7514166666665,0.0,120.0350333333331,0.0,0.0,10658.074995
85,14:00-14:10,14:10,1.0002,5687.1291,6214.0158,-526.8867,947.8548499999999,1035.6693,0.0,87.81445000000008,0.0,0.0,10737.108
86,14:10-14:20,14:20,0.9978,5678.962,6000.7112,-321.7491999999993,946.4936666666667,1000.1185333333333,0.0,53.62486666666655,0.0,0.0,10785.37038
87,14:20-14:30,14:30,1.0271,5669.4508,5766.9816,-97.53080000000045,944.9084666666665,961.1636,0.0,16.255133333333447,0.0,0.0,10800.0
