日期,紧急购电时间段,紧急购电量_kWh
2025-03-20,7:00-7:10,259.0994333333326
2025-03-20,7:10-7:20,209.76746666666656
2025-03-20,7:20-7:30,159.13036666666653
2025-03-20,7:30-7:40,61.52580416666342
2025-03-20,7:40-7:50,64.15854999999999
2025-03-20,7:50-8:00,14.667866666666669
2025-03-20,8:00-8:10,283.81571666666673
2025-03-20,8:10-8:20,247.9580166666667
2025-03-20,8:20-8:30,207.29913333333343
2025-03-20,8:30-8:40,135.06281666666666
2025-03-20,8:40-8:50,71.10285000000022
2025-03-20,8:50-9:00,47.20538333333343
2025-03-20,9:00-9:10,221.28376666666668
2025-03-20,9:10-9:20,150.51836666666668
2025-03-20,9:20-9:30,77.1854166666667
2025-03-20,9:30-9:40,36.094750000000204
2025-03-20,9:40-9:50,41.25734999999986
2025-03-20,9:50-10:00,45.20708333333323
2025-03-20,11:10-11:20,229.37813333333452
2025-03-20,11:30-11:40,153.91994999999997
2025-03-20,11:40-11:50,132.35345000000007
2025-03-20,11:50-12:00,4.748300000000199
2025-03-20,12:40-12:50,69.14975000000004
2025-03-20,12:50-13:00,16.00711666666666
2025-03-20,13:20-13:30,46.36086666666688
2025-03-20,13:30-13:40,40.999700000000075
2025-03-20,13:40-13:50,13.606666666666797
2025-03-20,13:50-14:00,14.70461666666688
2025-03-20,15:50-16:00,16.786833333333107
2025-03-20,16:50-17:00,2.9858500000000276
2025-06-21,4:00-4:10,1.123199999999997
2025-06-21,4:10-4:20,1.160916666666651
2025-06-21,4:20-4:30,1.160916666666651
2025-06-21,4:30-4:40,0.6356499999999983
2025-06-21,4:40-4:50,1.160916666666651
2025-06-21,5:00-5:10,123.77938333333333
2025-06-21,5:10-5:20,99.24525
2025-06-21,5:20-5:30,73.7278
2025-06-21,5:30-5:40,45.30761666666666
2025-06-21,5:40-5:50,20.60155000000003
2025-06-21,6:00-6:10,102.77758333333298
2025-06-21,6:10-6:20,209.25878333333327
2025-06-21,6:20-6:30,157.17383333333333
2025-06-21,6:30-6:40,97.38518333333332
2025-06-21,6:40-6:50,59.74386666666669
2025-06-21,6:50-7:00,1.6175833333333003
2025-06-21,7:00-7:10,63.282299999999964
2025-06-21,7:10-7:20,21.927683333333334
2025-09-23,6:30-6:40,62.12057366666909
2025-09-23,6:40-6:50,43.89331666666669
2025-09-23,7:00-7:10,310.6854333333333
2025-09-23,7:10-7:20,256.2816333333333
2025-09-23,7:20-7:30,213.24501666666663
2025-09-23,7:30-7:40,146.33083333333332
2025-09-23,7:40-7:50,71.43286666666665
2025-09-23,7:50-8:00,3.157516666666652
2025-09-23,8:00-8:10,284.99388333333343
2025-09-23,8:10-8:20,233.61388333333332
2025-09-23,8:20-8:30,188.4917833333334
2025-09-23,8:30-8:40,138.7492000000001
2025-09-23,8:40-8:50,71.54446666666672
2025-09-23,8:50-9:00,3.6230333333332965
2025-09-23,9:00-9:10,81.44063333333338
2025-09-23,9:10-9:20,58.287933333333285
2025-09-23,9:20-9:30,33.82206666666684
2025-09-23,9:30-9:40,14.298266666666677
2025-09-23,9:40-9:50,4.31498333333343
2025-09-23,10:00-10:10,170.4146333333333
2025-09-23,10:10-10:20,127.55231666666668
2025-09-23,10:20-10:30,64.92420000000016
2025-09-23,10:30-10:40,45.261283333333495
2025-09-23,10:40-10:50,48.112016666666705
2025-09-23,10:50-11:00,28.26170000000002
2025-09-23,11:00-11:10,169.82478333333347
2025-09-23,11:10-11:20,99.00750000000016
2025-09-23,11:20-11:30,67.33268333333353
2025-09-23,11:30-11:40,70.67576666666673
2025-09-23,11:40-11:50,61.38711666666654
2025-09-23,11:50-12:00,21.35273333333339
2025-09-23,13:50-14:00,14.52828333333332
2025-09-23,15:50-16:00,6.975883333333286
2025-12-21,7:10-7:20,189.5402020000056
2025-12-21,7:20-7:30,146.23688333333337
2025-12-21,7:30-7:40,95.22643333333326
2025-12-21,7:40-7:50,48.563966666666715
2025-12-21,7:50-8:00,4.7056333333334806
2025-12-21,8:00-8:10,254.83695
2025-12-21,8:10-8:20,196.25919999999996
2025-12-21,8:20-8:30,134.92513333333318
2025-12-21,8:30-8:40,72.66618333333327
2025-12-21,8:40-8:50,32.262050000000045
2025-12-21,8:50-9:00,7.93138333333286
2025-12-21,9:00-9:10,234.71439999999996
2025-12-21,9:10-9:20,188.8361666666666
2025-12-21,9:20-9:30,144.07884999999987
2025-12-21,9:30-9:40,101.72936666666669
2025-12-21,9:40-9:50,66.3322999999998
2025-12-21,9:50-10:00,38.447599999999966
2025-12-21,10:00-10:10,48.030866666666725
2025-12-21,10:10-10:20,36.2947333333334
2025-12-21,10:20-10:30,35.60563333333357
2025-12-21,10:30-10:40,38.0302333333334
2025-12-21,10:40-10:50,16.583233333333283
2025-12-21,10:50-11:00,14.849133333333384
2025-12-21,11:00-11:10,115.94640000000004
2025-12-21,11:10-11:20,98.09508333333338
2025-12-21,11:20-11:30,57.889250000000175
2025-12-21,11:30-11:40,42.609133333333375
2025-12-21,11:40-11:50,4.3306333333334806
