日期,情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元,更新接受次数,更新拒绝次数,保持计划不可行次数,预计调整节省_元
2025-02-01,仅0:00预报,43601.23232945982,43601.23232945982,0.0,25922.030277385013,0.0,0.0,25922.030277385013,0,0,0,0.0
2025-02-01,更新至6:00,43601.23232945982,43601.23232945982,0.0,25922.030277385013,0.0,0.0,25922.030277385013,0,1,0,1.4551915228366852e-11
2025-02-01,更新至12:00,43601.23232945982,43054.93257112648,0.0,25922.030277385013,112.34654530124995,0.0,26034.376822686263,1,1,0,20.005016914306907
2025-02-01,更新至18:00,43601.23232945982,42976.57791811082,0.0,25922.030277385013,161.11056360554204,0.0,26083.140840990556,2,1,1,
2025-02-02,仅0:00预报,89043.54693185538,89043.54693185538,0.0,61567.86337111852,0.0,0.0,61567.86337111852,0,0,0,0.0
2025-02-02,更新至6:00,89043.54693185538,89043.54693185538,0.0,61567.86337111852,0.0,0.0,61567.86337111852,0,1,0,0.0
2025-02-02,更新至12:00,89043.54693185538,89043.54693185538,0.0,61567.86337111852,0.0,0.0,61567.86337111852,0,2,0,0.0
2025-02-02,更新至18:00,89043.54693185538,87822.40530137657,0.0,61567.86337111852,765.5834339192559,0.0,62333.446805037776,1,2,1,
2025-02-03,仅0:00预报,90959.76612943166,90959.76612943166,0.0,64670.95655324995,0.0,0.0,64670.95655324995,0,0,0,0.0
2025-02-03,更新至6:00,90959.76612943166,90959.76612943166,0.0,64670.95655324995,0.0,0.0,64670.95655324995,0,1,0,0.0
2025-02-03,更新至12:00,90959.76612943166,90959.76612943166,0.0,64670.95655324995,0.0,0.0,64670.95655324995,0,2,0,0.0
2025-02-03,更新至18:00,90959.76612943166,89886.39304619809,0.0,64670.95655324995,669.3028977589996,0.0,65340.25945100895,1,2,1,
2025-02-04,仅0:00预报,93557.19484040978,93557.19484040978,0.0,67481.67183459537,0.0,0.0,67481.67183459537,0,0,0,0.0
2025-02-04,更新至6:00,93557.19484040978,93557.19484040978,0.0,67481.67183459537,0.0,0.0,67481.67183459537,0,1,0,0.0
2025-02-04,更新至12:00,93557.19484040978,93557.19484040978,0.0,67481.67183459537,0.0,0.0,67481.67183459537,0,2,0,2.9103830456733704e-11
2025-02-04,更新至18:00,93557.19484040978,93184.14838495398,0.0,67481.67183459537,232.52947110213907,0.0,67714.20130569751,1,2,1,
2025-02-05,仅0:00预报,90768.75112768782,90768.75112768782,1.1368683772161603e-13,63047.25914165029,0.0,4.798721420229413e-13,63047.25914165029,0,0,0,0.0
2025-02-05,更新至6:00,90768.75112768782,90910.40362778504,1.1368683772161603e-13,63047.25914165029,99.05759331798748,4.798721420229413e-13,63146.31673496828,1,0,0,33.019197772606276
2025-02-05,更新至12:00,90768.75112768782,90910.40362778504,1.1368683772161603e-13,63047.25914165029,99.05759331798748,4.798721420229413e-13,63146.31673496828,1,1,0,33.019197772606276
2025-02-05,更新至18:00,90768.75112768782,90680.4415564959,1.1368683772161603e-13,63047.25914165029,242.18643470275245,4.798721420229413e-13,63289.44557635304,2,1,1,
2025-02-06,仅0:00预报,97560.41475391915,97560.41475391915,2.2737367544323206e-13,67194.31215488925,0.0,9.398490874445997e-13,67194.31215488925,0,0,0,0.0
2025-02-06,更新至6:00,97560.41475391915,97560.41475391915,2.2737367544323206e-13,67194.31215488925,0.0,9.398490874445997e-13,67194.31215488925,0,1,0,0.0
2025-02-06,更新至12:00,97560.41475391915,97560.41475391915,2.2737367544323206e-13,67194.31215488925,0.0,9.398490874445997e-13,67194.31215488925,0,2,0,0.0
2025-02-06,更新至18:00,97560.41475391915,97451.71403596335,2.2737367544323206e-13,67194.31215488925,67.64989181979196,9.398490874445997e-13,67261.96204670904,1,2,1,
2025-02-07,仅0:00预报,47061.386730800165,47061.386730800165,0.0,24470.06019493393,0.0,0.0,24470.06019493393,0,0,0,0.0
2025-02-07,更新至6:00,47061.386730800165,47061.386730800165,0.0,24470.06019493393,0.0,0.0,24470.06019493393,0,1,0,-7.275957614183426e-12
2025-02-07,更新至12:00,47061.386730800165,47061.386730800165,0.0,24470.06019493393,0.0,0.0,24470.06019493393,0,2,0,-1.4551915228366852e-11
2025-02-07,更新至18:00,47061.386730800165,47061.386730800165,0.0,24470.06019493393,0.0,0.0,24470.06019493393,0,3,0,-1.4551915228366852e-11
2025-02-08,仅0:00预报,37976.34443216761,37976.34443216761,0.0,19835.369446925994,0.0,0.0,19835.369446925994,0,0,0,0.0
2025-02-08,更新至6:00,37976.34443216761,38152.441487389835,0.0,19835.369446925994,204.06231275659218,0.0,20039.431759682586,1,0,0,97.0069213210445
2025-02-08,更新至12:00,37976.34443216761,38139.63124552407,0.0,19835.369446925994,182.66643522570413,0.0,20018.035882151697,2,0,0,103.0412646902405
2025-02-08,更新至18:00,37976.34443216761,38139.63124552407,0.0,19835.369446925994,182.66643522570413,0.0,20018.035882151697,2,1,0,103.0412646902405
2025-02-09,仅0:00预报,87604.01329420722,87604.01329420722,0.0,56394.040494847904,0.0,0.0,56394.040494847904,0,0,0,0.0
2025-02-09,更新至6:00,87604.01329420722,88757.72678333841,0.0,56394.040494847904,791.1620204430268,0.0,57185.202515290934,1,0,0,268.4292794937355
2025-02-09,更新至12:00,87604.01329420722,87743.48799420723,0.0,56394.040494847904,93.63327286249678,0.0,56487.6737677104,2,0,0,905.4446330676001
2025-02-09,更新至18:00,87604.01329420722,87743.48799420723,0.0,56394.040494847904,93.63327286249678,0.0,56487.6737677104,2,1,0,906.5841347161477
2025-02-10,仅0:00预报,84483.63053777486,84483.63053777486,0.8591875000000755,53377.88520879351,0.0,4.0244342500003425,53381.90964304351,0,0,0,0.0
2025-02-10,更新至6:00,84483.63053777486,84483.63053777486,0.8591875000000755,53377.88520879351,0.0,4.0244342500003425,53381.90964304351,0,1,0,-1.4551915228366852e-11
2025-02-10,更新至12:00,84483.63053777486,84483.63053777486,0.8591875000000755,53377.88520879351,0.0,4.0244342500003425,53381.90964304351,0,2,0,-2.9103830456733704e-11
2025-02-10,更新至18:00,84483.63053777486,84483.63053777486,0.8591875000000755,53377.88520879351,0.0,4.0244342500003425,53381.90964304351,0,3,0,-2.9103830456733704e-11
2025-02-11,仅0:00预报,84380.27393102413,84380.27393102413,10.902175000000284,53372.617233564335,0.0,51.065787700001316,53423.68302126434,0,0,0,0.0
2025-02-11,更新至6:00,84380.27393102413,84380.27393102413,10.902175000000284,53372.617233564335,0.0,51.065787700001316,53423.68302126434,0,1,0,1.7626086866512196
2025-02-11,更新至12:00,84380.27393102413,84380.27393102413,10.902175000000284,53372.617233564335,0.0,51.065787700001316,53423.68302126434,0,2,0,1.7626086866366677
2025-02-11,更新至18:00,84380.27393102413,84380.27393102413,10.902175000000284,53372.617233564335,0.0,51.065787700001316,53423.68302126434,0,3,0,1.7626086866366677
2025-02-12,仅0:00预报,85113.46721607202,85113.46721607202,3.330337500000269,53875.29364501324,0.0,15.5993008500011,53890.89294586324,0,0,0,0.0
