日期,预报整体缩放比例,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,总费用_元
2025-03-20,0.9,73986.97221831388,74603.1602265893,2.2737367544323206e-13,46597.961587007856
2025-03-20,0.95,71668.86886067787,72369.47875455637,2.2737367544323206e-13,45098.48857959952
2025-03-20,1.0,69613.19349317592,70155.34207884259,2.2737367544323206e-13,43333.27212716051
2025-03-20,1.05,67169.47811864677,67628.08429394796,353.2909169333359,43423.27673944688
2025-03-20,1.1,65047.850831020216,65545.81373929522,934.3568880416664,45369.361661037605
2025-06-21,0.9,37833.59081202345,37833.59081202345,1.7053025658242404e-13,23138.74073843155
2025-06-21,0.95,37041.61439828014,37041.61439828014,1.7053025658242404e-13,22635.180430434415
2025-06-21,1.0,36472.108259928485,36472.108259928485,5.684341886080802e-14,22225.353444530207
2025-06-21,1.05,35978.15648511851,35978.15648511851,5.684341886080802e-14,21847.235834323696
2025-06-21,1.1,35488.591823641866,35488.591823641866,5.684341886080802e-14,21471.07920311787
2025-09-23,0.9,75571.85369777065,75612.07991443733,6.375,48689.20452691701
2025-09-23,0.95,72857.70534880359,72899.35536047026,6.375000000000114,46869.66267118061
2025-09-23,1.0,70029.95197418414,70073.63832418414,6.375000000000114,45086.129023997455
2025-09-23,1.05,67343.10498356429,67435.8119160643,6.375000000000227,43438.920176939675
2025-09-23,1.1,64637.66288108744,65751.61753902942,94.28679186666773,44264.789111918595
2025-12-21,0.9,97246.98094272823,97246.98094272823,1.1368683772161603e-13,64158.373868164665
2025-12-21,0.95,95257.55564509293,95257.55564509293,2.2737367544323206e-13,62732.1432905649
2025-12-21,1.0,93129.12472582862,93728.07762789755,1.1368683772161603e-13,62491.37074447008
2025-12-21,1.05,91118.60393321356,93294.78123706435,7.958078640513122e-13,64344.82705060092
2025-12-21,1.1,89326.44182257698,93079.94709934307,4.547473508864641e-13,66208.35476990734
