日期,计划购电量_kWh,期望紧急购电量_kWh,实际紧急购电量_kWh,实际结算总购电费_元,24:00储电量_kWh
2025-01-01,72838.10595082304,0.0,18680.60063333333,119448.90812083783,1200.0000000000052
2025-01-02,111063.00773333333,5188.287903333335,1142.351316666666,77212.41596760832,1200.0000000000023
2025-01-03,107714.37954999998,3565.866779999999,103.66666666666657,71021.61879488,1200.0000000000007
2025-01-04,30258.08730864197,21213.237656666664,23590.031499999997,114249.98785248055,1200.0000000000005
2025-01-05,33314.239426748965,20513.401856666664,61054.57655,274124.9224076344,1199.9999999999986
2025-01-06,113115.75749999999,8665.95123,2043.8605166666669,82400.77686778834,1200.000000000001
2025-01-07,76485.48716666666,21055.911200000002,24724.886549999996,149655.98681091832,1199.999999999999
2025-01-08,85117.01086152263,29563.99251,23624.717349999995,151590.5929185308,1200.0
2025-01-09,76324.22045,21327.939103333334,24251.813199999997,148303.44556893499,1200.0000000000018
2025-01-10,106132.83223230453,4660.209786666667,134.08499999999998,69749.83374741016,1200.0000000000011
2025-01-11,32146.769526954726,20696.690703333334,23111.36203333333,110342.0874114894,1199.999999999999
2025-01-12,59253.6768557613,4038.9457566666674,36135.01071666667,181655.33923420924,1200.0
2025-01-13,116942.65938333332,12359.36695,1882.4547000000014,84836.45042655167,1199.999999999999
2025-01-14,110975.97331666666,8925.61204,2950.934416666666,83995.05394446333,1200.0000000000002
2025-01-15,81204.91570020575,27373.79545,22645.162233333333,145506.3152950793,1199.999999999998
2025-01-16,75960.24241666666,20289.199146666666,23624.6053,143937.91178727668,1200.0
2025-01-17,100142.11726666667,4238.960563333333,125.20666666666648,65018.50070314999,1200.0000000000023
2025-01-18,37834.11239999998,26789.08211666666,23138.303183333333,113372.62238476667,1200.0000000000002
2025-01-19,63169.17179341563,7850.270353333334,30394.284216666667,161728.3876283514,1200.0000000000036
2025-01-20,109612.46061666665,8489.017343333335,2293.9316,81517.76924209499,1200.0000000000018
2025-01-21,99416.46159999998,3705.274783333333,2322.4031166666673,72475.43444079332,1200.000000000001
2025-01-22,99872.09656419753,4133.6375966666665,3109.0057666666657,76344.98257087337,1200.000000000001
2025-01-23,98770.80262427984,4154.293120000001,3105.3345666666673,74371.68806289411,1200.000000000001
2025-01-24,95761.06714999999,4105.073583333335,155.32500000000005,62060.094026911655,1200.0000000000002
2025-01-25,26031.850649588476,19942.964350000002,22716.007116666668,107495.20217782259,1199.9999999999982
2025-01-26,35261.34160802468,20213.53308,56251.51573333333,254588.11748775793,1200.000000000002
2025-01-27,102653.24165329218,7963.037643333334,2361.495133333333,75655.72171329214,1200.0000000000005
2025-01-28,77975.85513333333,19899.35448666667,22549.83695,140377.19735896168,1200.0
2025-01-29,79741.64923847736,25652.325173333335,20990.734866666666,135582.1184296625,1200.0000000000048
2025-01-30,71035.58788333333,19757.678850000004,22865.602366666666,138312.27452580997,1200.0000000000036
2025-01-31,95636.99421666664,3706.3146566666674,99.08833333333325,62118.321963783324,1200.000000000001
2025-02-01,31187.534483539093,24244.32358333333,19693.58123333333,97866.56896267766,1200.000000000001
2025-02-02,18399.059697275716,16599.26465333333,62306.25821666666,270488.07726460916,1200.0
2025-02-03,101933.32803333332,7692.956353333333,3082.0063499999987,77700.99994873666,1200.0000000000002
2025-02-04,75379.09446666666,26332.96166,21680.800766666667,136442.50448422,1200.0
2025-02-05,85972.64805329217,2556.311936666667,4094.492450000001,69079.972005957,1199.9999999999995
2025-02-06,75416.57823333333,24885.802223333332,22079.495566666665,138043.196814385,1200.0000000000048
