因素,参数值,平均期望总购电费_元,平均实际结算费用_元,平均期望紧急购电量_kWh
充放电效率,0.81,52168.23127794443,52168.23127794443,0.0
充放电效率,0.9,52081.62390072325,52081.62390072325,0.0
充放电效率,0.99,52021.199364715554,52021.199364715554,0.0
光伏规模,0.9,54148.94209660838,54148.94209660838,0.0
光伏规模,1.0,52081.62390072325,52081.62390072325,0.0
光伏规模,1.1,50295.54675758412,50295.54675758412,0.0
初始储电量,5000.0,52650.85457172892,52650.85457172892,0.0
初始储电量,6000.0,52533.84197911182,52533.84197911182,0.0
初始储电量,7000.0,52418.712979900185,52418.712979900185,0.0
历史回看天数,15.0,52052.161778461705,52052.161778461705,0.0
历史回看天数,30.0,52081.62390072325,52081.62390072325,0.0
历史回看天数,45.0,51989.945180258605,51989.945180258605,0.0
情景数量,15.0,52064.33155566847,52064.33155566847,0.0
情景数量,30.0,52081.62390072325,52081.62390072325,0.0
情景数量,45.0,52081.62390072325,52081.62390072325,0.0
电价水平,0.9,46873.46151065092,46873.46151065092,0.0
电价水平,1.0,52081.62390072325,52081.62390072325,0.0
电价水平,1.1,57289.786290795586,57289.786290795586,0.0
紧急电价倍数,3.0,52081.62390072325,52081.62390072325,0.0
紧急电价倍数,5.0,52081.62390072325,52081.62390072325,0.0
紧急电价倍数,7.0,52081.62390072325,52081.62390072325,0.0
续存价值倍率,0.0,51972.72217546388,51972.72217546388,0.0
续存价值倍率,1.0,52081.62390072325,52081.62390072325,0.0
续存价值倍率,2.0,52296.72787780661,52296.72787780661,0.0
负荷规模,0.9,45110.56212690972,45110.56212690972,0.0
负荷规模,1.0,52081.62390072325,52081.62390072325,0.0
负荷规模,1.1,59323.655187469456,59323.655187469456,0.0
预测误差缩放,0.9,52078.42612199206,52078.42612199206,0.0
预测误差缩放,1.0,52081.62390072325,52081.62390072325,0.0
预测误差缩放,1.1,52084.821679454435,52084.821679454435,0.0
