日期,时段序号,时段,电价_元每kWh,小区负载_kW,光伏实际功率_kW,净负荷_kW,计划购电量_kWh,紧急购电量_kWh,充电量_kWh,放电量_kWh,弃光量_kWh,时段末储电量_kWh,计划购电费_元,紧急购电费_元
2025-01-01,1,0:00-0:10,0.4248,3529.7296,0.0,3529.7296,588.2882666666667,0.0,0.0,0.0,0.0,6000.0,249.90485568000003,0.0
2025-01-01,2,0:10-0:20,0.4245,3609.5286999999994,0.0,3609.5286999999994,601.5881166666666,0.0,0.0,0.0,0.0,6000.0,255.37415552499996,0.0
2025-01-01,3,0:20-0:30,0.4269,3726.5599999999995,0.0,3726.5599999999995,621.0933333333332,0.0,0.0,0.0,0.0,6000.0,265.14474399999995,0.0
2025-01-01,4,0:30-0:40,0.4272,3510.6311,0.0,3510.6311,585.1051833333333,0.0,0.0,0.0,0.0,6000.0,249.95693432000002,0.0
2025-01-01,5,0:40-0:50,0.4271,3502.5625,0.0,3502.5625,583.7604166666666,0.0,0.0,0.0,0.0,6000.0,249.32407395833332,0.0
2025-01-01,6,0:50-1:00,0.4285,3787.0099999999998,0.0,3787.0099999999998,631.1683333333333,0.0,0.0,0.0,0.0,6000.0,270.4556308333333,0.0
2025-01-01,7,1:00-1:10,0.4311,3900.3205,0.0,3900.3205,650.0534166666666,0.0,0.0,0.0,0.0,6000.0,280.238027925,0.0
2025-01-01,8,1:10-1:20,0.4302,3916.8376,0.0,3916.8376,652.8062666666666,0.0,0.0,0.0,0.0,6000.0,280.83725591999996,0.0
2025-01-01,9,1:20-1:30,0.4279,3817.28,0.0,3817.28,636.2133333333334,0.0,0.0,0.0,0.0,6000.0,272.2356853333333,0.0
2025-01-01,10,1:30-1:40,0.4312,3533.0136,0.0,3533.0136,588.8356,0.0,0.0,0.0,0.0,6000.0,253.90591072,0.0
2025-01-01,11,1:40-1:50,0.4333,3694.6613,0.0,3694.6613,615.7768833333333,0.0,0.0,0.0,0.0,6000.0,266.81612354833334,0.0
2025-01-01,12,1:50-2:00,0.4311,4064.7299999999996,0.0,4064.7299999999996,677.4549999999999,0.0,0.0,0.0,0.0,6000.0,292.05085049999997,0.0
2025-01-01,13,2:00-2:10,0.4293,3810.671,0.0,3810.671,635.1118333333333,0.0,0.0,0.0,0.0,6000.0,272.65351004999997,0.0
2025-01-01,14,2:10-2:20,0.4324,3844.9495,0.0,3844.9495,640.8249166666667,0.0,0.0,0.0,0.0,6000.0,277.0926939666667,0.0
2025-01-01,15,2:20-2:30,0.4367,4234.62,0.0,4234.62,705.77,0.0,0.0,0.0,0.0,6000.0,308.20975899999996,0.0
2025-01-01,16,2:30-2:40,0.4348,4109.9755,0.0,4109.9755,684.9959166666665,0.0,0.0,0.0,0.0,6000.0,297.8362245666666,0.0
2025-01-01,17,2:40-2:50,0.4335,3996.8944999999994,0.0,3996.8944999999994,666.1490833333332,0.0,0.0,0.0,0.0,6000.0,288.77562762499997,0.0
2025-01-01,18,2:50-3:00,0.4357,4102.19,0.0,4102.19,683.6983333333333,0.0,0.0,0.0,0.0,6000.0,297.88736383333327,0.0
2025-01-01,19,3:00-3:10,0.4374,4086.0577,0.0,4086.0577,681.0096166666666,0.0,0.0,0.0,0.0,6000.0,297.87360633,0.0
2025-01-01,20,3:10-3:20,0.4371,4133.7626,0.0,4133.7626,688.9604333333333,0.0,0.0,0.0,0.0,6000.0,301.14460541,0.0
2025-01-01,21,3:20-3:30,0.4356,4179.18,0.0,4179.18,696.53,0.0,0.0,0.0,0.0,6000.0,303.40846799999997,0.0
2025-01-01,22,3:30-3:40,0.4353,3953.3711,0.0,3953.3711,658.8951833333333,0.0,0.0,0.0,0.0,6000.0,286.817073305,0.0
2025-01-01,23,3:40-3:50,0.436,3910.7496,0.0,3910.7496,651.7916,0.0,0.0,0.0,0.0,6000.0,284.1811376,0.0
2025-01-01,24,3:50-4:00,0.4378,4099.31,0.0,4099.31,683.2183333333334,0.0,0.0,0.0,0.0,6000.0,299.11298633333337,0.0
2025-01-01,25,4:00-4:10,0.4401,4123.8623,0.0,4123.8623,687.3103833333332,0.0,0.0,0.0,0.0,6000.0,302.48529970499993,0.0
2025-01-01,26,4:10-4:20,0.4389,4169.0068,0.0,4169.0068,694.8344666666667,0.0,0.0,0.0,0.0,6000.0,304.96284742,0.0
