日期,小区负载电量_kWh,光伏实际电量_kWh,计划购电量_kWh,紧急购电量_kWh,充电量_kWh,放电量_kWh,弃光量_kWh,0:00储电量_kWh,24:00储电量_kWh,计划购电费_元,紧急购电费_元,总购电费_元,最大电能平衡残差_kWh,最大SOC递推残差_kWh,最大充电功率_kW,最大放电功率_kW
2025-01-01,127286.15238333333,35250.98236666666,54149.36566502058,34900.52509164609,7024.8460000000005,10010.125259999997,0.0,6000.0,1200.0,32909.8652559563,171559.01528220688,204468.88053816318,2.2737367544323206e-13,0.0,4956.2648,5000.0
2025-01-02,127657.07848333332,34771.83921666666,129574.51713333331,0.0,18318.087847530864,14038.06803333333,32409.25805246913,1200.0,2088.4256924074098,87433.03780850666,0.0,87433.03780850666,2.2737367544323206e-13,0.0,5000.0,4622.8615
2025-01-03,81883.55671666666,36378.61535,128867.23231721729,0.0,14761.768467502778,5507.520959760589,74108.04344280844,2088.4256924074098,9254.549580092593,87744.64487864258,0.0,87744.64487864258,2.2737367544323206e-13,0.0,5000.0,3022.4875
2025-01-04,81891.73006666666,37126.1277,80821.13424711477,0.0,12636.473157475997,9875.119364380766,33294.17808735288,9254.549580092593,9655.020572509025,61704.51525692515,0.0,61704.51525692515,2.2737367544323206e-13,0.0,4123.5566333333345,3313.0578
2025-01-05,127674.11883333333,36638.408533333335,63810.995722886815,20526.438415979075,4796.012390126398,11494.288551260503,0.0,9655.020572509025,1200.0,44893.27499601817,101471.25453251248,146364.52952853066,0.0,0.0,3015.0899999999992,4576.1663
2025-01-06,126826.69011666666,36194.20901666666,85834.11498883978,7011.16913039534,11414.21809439533,9201.415075160217,0.0,1200.0,1249.001757,62177.165952532596,31114.40230004734,93291.56825257993,2.2737367544323206e-13,0.0,3688.8338333333336,4589.65
2025-01-07,126927.46214999999,34360.5612,88710.07776311232,5731.2347827357025,10097.43777446337,8223.02617861533,0.0,1249.001757,1200.0,64584.417721455415,25817.865569361646,90402.28329081705,2.2737367544323206e-13,0.0,4789.513175000003,4486.1276
2025-01-08,126695.94394999999,37169.94263333333,100250.3984993393,35.434467619047496,19545.761069727607,14991.734403231747,6205.804983795812,1200.0,2133.702292497358,69276.87584342595,75.32264301785689,69352.19848644381,2.2737367544323206e-13,0.0,5000.0,4632.8547
2025-01-09,127066.61819999998,35975.06208333333,89849.41259254405,2621.56358783806,11065.383862286828,9685.963798571382,0.0,2133.702292497358,1330.3657701428572,65874.7235115171,10487.54647511351,76362.26998663062,2.2737367544323206e-13,0.0,3904.2558333333345,4465.4924
2025-01-10,81486.63841666667,35995.971699999995,90563.959322523,0.0,15672.22104901756,4360.692245527902,33761.76380236668,1330.3657701428572,10590.15110811655,67710.56644817491,0.0,67710.56644817491,1.1368683772161603e-13,0.0,3232.875563095236,3300.2694
2025-01-11,81610.19496666665,36744.30835,81298.63040528004,0.0,11326.589878088605,9476.09789587323,34582.251806398,10590.15110811655,10255.08433631493,62295.675542480276,0.0,62295.675542480276,2.2737367544323206e-13,0.0,2549.308571428571,3545.78
2025-01-12,126519.32696666665,35653.438566666664,81591.62667944739,2808.73638533469,8863.424039292295,15328.9493745102,0.0,10255.08433631493,1200.0,61265.445882117216,6862.1823573836455,68127.62823950086,2.2737367544323206e-13,0.0,4626.027666613108,4445.4175
2025-01-13,126980.35978333333,38706.40281666666,99622.96919717449,0.0,18683.206053821603,14721.568895300496,7387.375071986714,1200.0,1657.5866758833386,69023.42509980909,0.0,69023.42509980909,2.2737367544323206e-13,0.0,5000.0,4550.4998857142855
2025-01-14,127109.49061666665,37829.17768333333,97290.04981208451,163.64252283729815,19503.20803216598,16209.426514349456,4879.597883771954,1657.5866758833386,1200.0,66850.38378150991,389.4640413124661,67239.84782282238,2.2737367544323206e-13,0.0,5000.0,4576.55
2025-01-15,126963.89896666666,36893.55603333333,110707.18493412001,0.0,18659.176250383964,12934.3799230795,14912.04567348222,1200.0,3621.72537747946,77831.41693568404,0.0,77831.41693568404,2.2737367544323206e-13,0.0,5000.0,4668.182236337646
2025-01-16,126807.76418333333,37733.61273333333,103437.69207747628,0.0,15880.596587533026,12965.52836247282,11448.47240241608,3621.72537747946,3508.119681289374,73941.6794409423,0.0,73941.6794409423,2.2737367544323206e-13,0.0,5000.0,4542.863410153302
2025-01-17,80876.07619999998,38186.962733333334,67074.80325564605,0.0,11994.631480631087,8249.417097227564,20640.475405575875,3508.119681289374,5137.269016937838,42568.03480357529,0.0,42568.03480357529,2.2737367544323206e-13,0.0,4963.154438678662,2981.92
