日期,点预测负荷合计_kWh,点预测光伏合计_kWh,日类型_0低负载_1普通,计划购电量_kWh,期望紧急购电量_kWh,实际紧急购电量_kWh,实际结算总购电费_元,24:00储电量_kWh
2025-01-01,111024.8081,55482.835666666666,1,92035.17001666667,,0.0,73322.71323137166,6000.0
2025-01-02,127286.15238333333,35250.98236666667,1,92885.23926666667,,0.0,74075.24690858832,6000.0
2025-01-03,127471.61543333333,35011.41079166666,1,50979.25585,,0.0,38237.873083529994,6000.0
2025-01-04,112275.5958611111,35467.14564444445,1,50776.28808333333,,0.0,38166.334230805,6000.0
2025-01-05,104679.62941249998,36092.194088888886,1,91035.71029999999,,0.0,72810.46132814999,6000.0
2025-01-06,109278.52729666667,36714.38386111111,1,90632.48109999999,,0.0,72497.47138261,6000.0
2025-01-07,112203.2211,36652.91508333333,1,92566.90095,,0.0,73741.60979927331,6000.0
2025-01-08,114306.68410714285,35731.059583333335,1,89526.00131666666,,0.0,71741.47051356333,6000.0
2025-01-09,114222.36861666664,35908.237616666665,1,91091.55611666667,,0.0,72808.08188202999,6000.0
2025-01-10,114138.01714761903,35835.18863888888,0,50117.26973333333,,0.0,37746.369951601664,6000.0
2025-01-11,114081.31453333332,36380.32547222222,0,50476.30393333333,,0.0,37865.685799976665,6000.0
2025-01-12,114041.09523333333,36238.447377777775,1,90865.8884,,0.0,72440.78529529166,6000.0
2025-01-13,113876.12496666667,36131.23953888888,1,88273.95696666666,,0.0,70425.57728944333,6000.0
2025-01-14,113898.07777619048,37034.71657777777,1,89280.31293333332,,0.0,71355.07566211166,6000.0
2025-01-15,127109.49061666666,37396.33968888889,1,90070.34293333332,,0.0,72205.08065099666,6000.0
2025-01-16,126963.89896666666,37809.71217777777,1,89074.15145,,0.0,71408.42870741166,6000.0
2025-01-17,81337.40876211743,37485.44881666666,0,48967.43318333333,,0.0,36650.026565145,6000.0
2025-01-18,80876.07620000001,37604.7105,0,49229.72451666666,,0.0,36703.55697455167,6000.0
2025-01-19,126608.23229694396,37962.04131666667,1,88683.13946666667,,0.0,71077.367019555,6000.0
2025-01-20,126210.84621666666,37893.40598888889,1,88067.07655,,0.0,70598.65206259667,6000.0
2025-01-21,126565.66615,37997.2816111111,1,84258.40456666666,,0.0,67361.07016085165,6000.0
2025-01-22,125750.14588333332,39433.51251666666,1,88898.76436666667,,0.0,71071.98297201666,6000.0
2025-01-23,126679.58854999997,39517.88499444444,1,89565.92559999999,,0.0,71380.60988766499,6000.0
2025-01-24,81047.2719785712,38948.19031111112,0,48391.69853333333,,0.0,36048.970894495,6000.0
2025-01-25,80339.53570000001,38360.150761111116,0,48296.865966666664,,0.0,35972.67301589999,6000.0
2025-01-26,125710.22432554045,39830.70563888889,1,87698.99003333334,,0.0,69788.05655464999,6000.0
2025-01-27,126385.04864999998,40462.88999444444,1,84393.41106666665,,0.0,67201.85851617332,6000.0
2025-01-28,125642.95023333331,40775.52696111111,1,86980.39936666666,,0.0,69348.02344952,6000.0
2025-01-29,126496.61093333332,39883.43454444445,1,81515.20405,,0.0,64816.19116698166,6000.0
2025-01-30,125425.44486666663,41668.16294444444,1,83970.14404999999,,0.0,67309.998554345,6000.0
2025-01-31,80817.3645496153,41941.640849999996,0,47079.720016666666,,0.0,35095.43078256,6000.0
2025-02-01,80009.91998333336,42518.102638888886,0,48680.214766546196,,0.0,27753.491031372796,10467.377798956777
2025-02-02,118986.9247507631,41813.69815,1,70473.31099095235,,2911.751805445797,63198.15534455076,1967.1062102722378
2025-02-03,121705.97264999998,42174.107327777776,1,87827.68469746882,,0.0,54894.30534403283,4447.484798660921
2025-02-04,122603.769,42554.52585,1,101370.91617632478,,0.0,68353.17699456535,10800.0
2025-02-05,121578.09884999998,42039.92736666666,1,91535.97888931952,,0.0,61799.794142165745,10648.327143800776
2025-02-06,121991.08443333334,41337.58161666666,1,94399.20411074144,,0.0,62944.910373991974,10503.86738568895
2025-02-07,78196.99341557192,41202.33261111111,0,44744.550203197396,,0.0,25336.47713979697,10800.0
2025-02-08,76168.59693333332,42528.8934,0,41599.08146568807,,0.0,23687.705967238213,9947.628812791067
2025-02-09,118746.56780074899,43504.549183333336,1,72486.27671751991,,5097.212918631786,73255.3764029998,4502.431832650956
2025-02-10,121547.90356666665,43508.34322222222,1,83735.89159472805,,0.0,53181.309662588144,5061.274538890875
2025-02-11,121477.56451666664,44437.679777777776,1,88883.71398831968,,56.12052985812507,58575.69221588452,10602.839247304208
2025-02-12,121441.28161666667,45121.36633888888,1,82455.28263216461,,0.0,54042.605602564756,10629.405974244946
