日期,因素,扰动,参数值,期望总购电费_元,实际结算总购电费_元,计划购电量_kWh,期望紧急购电量_kWh,实际紧急购电量_kWh,最大同时充放电量_kWh
2025-03-20,情景数量,,3.0,47018.72501464459,54263.22433898348,68907.78458157819,1222.4466777777773,2805.4965666666667,0.0
2025-03-20,情景数量,,5.0,118094.11341091088,109376.11547673587,54583.825055349786,20638.053896666668,18622.79688333333,0.0
2025-03-20,情景数量,,7.0,118860.61764173131,110178.54434116407,51019.03565967078,21711.06345892857,19661.74755,0.0
2025-03-20,预测误差缩放,-0.19999999999999996,0.8,99886.77707643746,95608.16398995047,58675.56404666666,15616.266645999998,14620.328676666668,0.0
2025-03-20,预测误差缩放,0.0,1.0,118094.11341091088,109376.11547673587,54583.825055349786,20638.053896666668,18622.79688333333,0.0
2025-03-20,预测误差缩放,0.19999999999999996,1.2,137198.02636643255,124817.93820374056,49801.693273251025,25941.660724666668,23047.193953333328,0.0
2025-03-20,紧急电价倍数,,3.0,82397.56659668931,76626.05734764531,50043.57968374485,21461.656349166664,19232.43589583333,0.0
2025-03-20,紧急电价倍数,,5.0,118094.11341091088,109376.11547673587,54583.825055349786,20638.053896666668,18622.79688333333,0.0
2025-03-20,紧急电价倍数,,7.0,152442.0390920442,140960.38994592088,56417.82820534978,20271.253266666667,18434.365249999995,0.0
2025-03-20,充放电效率,-0.08999999999999997,0.81,121001.31753117422,111609.69460505422,56621.90964760592,20779.2769,18622.79688333333,0.0
2025-03-20,充放电效率,0.0,0.9,118094.11341091088,109376.11547673587,54583.825055349786,20638.053896666668,18622.79688333333,0.0
2025-03-20,充放电效率,0.08999999999999997,0.99,114940.02554518325,106132.88707319324,51433.89496285583,20524.257006666667,18483.024733333332,0.0
2025-03-20,初始储电量,-1000.0,5000.0,118569.92452202199,109851.92658784699,55694.936166460895,20638.053896666665,18622.79688333333,0.0
2025-03-20,初始储电量,0.0,6000.0,118094.11341091088,109376.11547673587,54583.825055349786,20638.053896666668,18622.79688333333,0.0
2025-03-20,初始储电量,1000.0,7000.0,117619.21341091087,108901.21547673587,53472.71394423867,20638.053896666668,18622.79688333333,0.0
2025-06-21,情景数量,,3.0,48157.393278387215,76102.68348718998,12394.39228333333,10376.272294444441,17458.816916666663,0.0
2025-06-21,情景数量,,5.0,86619.16800286974,71966.65339060308,18354.33556831276,19000.731363333332,16082.283999999996,0.0
2025-06-21,情景数量,,7.0,78564.23958549932,71454.95666168333,15685.593433333332,17593.28657457848,16224.41383333333,0.0
