因素,参数值,平均期望总购电费_元,平均实际结算费用_元,平均期望紧急购电量_kWh
充放电效率,0.81,106420.40613744431,145132.95997092663,20230.823271745998
充放电效率,0.9,104233.84258120942,143704.03948662485,20061.217383266667
充放电效率,0.99,102018.91626649178,141722.3818624972,19974.626706666666
初始储电量,5000.0,104708.80372404942,144226.8885471436,20048.2696366
初始储电量,6000.0,104233.84258120942,143704.03948662485,20061.217383266667
初始储电量,7000.0,103760.98772997831,143240.27555816376,20056.79680326667
情景数量,3.0,64345.17968319556,122659.11877771361,8502.956334722221
情景数量,5.0,104233.84258120942,143704.03948662485,20061.217383266667
情景数量,7.0,108876.78373511405,138207.85234897176,21665.30022468033
紧急电价倍数,3.0,70039.4088071991,92523.89243047897,20791.020406591666
紧急电价倍数,5.0,104233.84258120942,143704.03948662485,20061.217383266667
紧急电价倍数,7.0,137054.7014490679,193826.29968894777,19569.1242325
预测误差缩放,0.8,86996.08825504011,129570.35399070304,15376.606927333334
预测误差缩放,1.0,104233.84258120942,143704.03948662485,20061.217383266667
预测误差缩放,1.2,121668.26934523074,158715.45100234932,24881.551356
