日期,时段序号,时段,电价_元每kWh,小区负载_kW,光伏实际功率_kW,净负荷_kW,计划购电量_kWh,紧急购电量_kWh,充电量_kWh,放电量_kWh,弃光量_kWh,时段末储电量_kWh,计划购电费_元,紧急购电费_元
2025-01-01,1,0:00-0:10,0.4248,3529.7296,0.0,3529.7296,1421.6216,0.0,833.3333333333333,0.0,0.0,6750.0,603.90485568,0.0
2025-01-01,2,0:10-0:20,0.4245,3609.5286999999994,0.0,3609.5286999999994,1434.9214499999998,0.0,833.3333333333333,0.0,0.0,7500.0,609.1241555249999,0.0
2025-01-01,3,0:20-0:30,0.4269,3726.5599999999995,0.0,3726.5599999999995,1454.4266666666665,0.0,833.3333333333333,0.0,0.0,8250.0,620.894744,0.0
2025-01-01,4,0:30-0:40,0.4272,3510.6311,0.0,3510.6311,1418.4385166666666,0.0,833.3333333333333,0.0,0.0,9000.0,605.95693432,0.0
2025-01-01,5,0:40-0:50,0.4271,3502.5625,0.0,3502.5625,1417.09375,0.0,833.3333333333333,0.0,0.0,9750.0,605.240740625,0.0
2025-01-01,6,0:50-1:00,0.4285,3787.0099999999998,0.0,3787.0099999999998,631.1683333333333,0.0,0.0,0.0,0.0,9750.0,270.4556308333333,0.0
2025-01-01,7,1:00-1:10,0.4311,3900.3205,0.0,3900.3205,650.0534166666666,0.0,0.0,0.0,0.0,9750.0,280.238027925,0.0
2025-01-01,8,1:10-1:20,0.4302,3916.8376,0.0,3916.8376,652.8062666666666,0.0,0.0,0.0,0.0,9750.0,280.83725591999996,0.0
2025-01-01,9,1:20-1:30,0.4279,3817.28,0.0,3817.28,969.5466666666666,0.0,333.3333333333333,0.0,0.0,10050.0,414.86901866666665,0.0
2025-01-01,10,1:30-1:40,0.4312,3533.0136,0.0,3533.0136,588.8356,0.0,0.0,0.0,0.0,10050.0,253.90591072,0.0
2025-01-01,11,1:40-1:50,0.4333,3694.6613,0.0,3694.6613,615.7768833333333,0.0,0.0,0.0,0.0,10050.0,266.81612354833334,0.0
2025-01-01,12,1:50-2:00,0.4311,4064.7299999999996,0.0,4064.7299999999996,677.4549999999999,0.0,0.0,0.0,0.0,10050.0,292.05085049999997,0.0
2025-01-01,13,2:00-2:10,0.4293,3810.671,0.0,3810.671,635.1118333333333,0.0,0.0,0.0,0.0,10050.0,272.65351004999997,0.0
2025-01-01,14,2:10-2:20,0.4324,3844.9495,0.0,3844.9495,640.8249166666667,0.0,0.0,0.0,0.0,10050.0,277.0926939666667,0.0
