日期,时段序号,时段,电价_元每kWh,小区负载_kW,小区负载电量_kWh,决策用负荷预测_kW,决策用负荷预测电量_kWh,光伏实际_kW,光伏0时预报_kW,最终采用预报_kW,计划购电量_kWh,调整购电量_kWh,充电量_kWh,放电量_kWh,紧急购电量_kWh,实际弃光量_kWh,时段初储电量_kWh,时段末储电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元
2025-02-01,1,0:00-0:10,0.3281,2532.1822,422.0303666666667,2598.6745338948717,433.1124223158119,0.0,0.0,0.0,1244.3388210053,1244.3388210053,822.3084543386333,0.0,0.0,0.0,3949.298520021925,4689.376128926695,408.2675671718389,0.0,0.0
2025-02-01,2,0:10-0:20,0.3257,2492.4439,415.4073166666667,2669.0005124124527,444.83341873540877,0.0,0.0,0.0,482.9773026706476,482.9773026706476,67.56998600398089,0.0,0.0,0.0,4689.376128926695,4750.189116330278,157.30570747982992,0.0,0.0
2025-02-01,3,0:20-0:30,0.3041,2464.3,410.7166666666667,2757.672014384722,459.61200239745364,0.0,0.0,0.0,769.7268126484939,769.7268126484939,359.01014598182724,0.0,0.0,0.0,4750.189116330278,5073.298247713922,234.073923726407,0.0,0.0
2025-02-01,4,0:30-0:40,0.3126,2581.7688,430.29479999999995,2805.0239224467236,467.5039870744539,0.0,0.0,0.0,1286.9365057594239,1286.9365057594239,833.3333333333333,0.0,0.0,23.308372426090727,5073.298247713922,5823.298247713922,402.2963517003959,0.0,0.0
2025-02-01,5,0:40-0:50,0.3286,2546.4635,424.4105833333333,2792.8009221160683,465.46682035267804,0.0,0.0,0.0,1251.1856478200418,1251.1856478200418,826.7750644867085,0.0,0.0,0.0,5823.298247713922,6567.395805751959,411.13960387366575,0.0,0.0
2025-02-01,6,0:50-1:00,0.3438,2436.31,406.0516666666666,2779.0074157833033,463.16790263055054,0.0,0.0,0.0,547.5607597734078,547.5607597734078,141.50909310674115,0.0,0.0,0.0,6567.395805751959,6694.753989548027,188.25138921009759,0.0,0.0
2025-02-01,7,1:00-1:10,0.3704,2620.5011,436.7501833333333,2829.852838116329,471.6421396860548,0.0,0.0,0.0,1283.2683188067099,1283.2683188067099,833.3333333333333,0.0,0.0,13.184802140043303,6694.753989548027,7444.753989548027,475.32258528600534,0.0,0.0
2025-02-01,8,1:10-1:20,0.3746,2710.7861,451.7976833333333,2789.762702521949,464.9604504203248,0.0,0.0,0.0,1273.592544914024,1273.592544914024,821.7948615806908,0.0,0.0,0.0,7444.753989548027,8184.369364970648,477.0877673247934,0.0,0.0
2025-02-01,9,1:20-1:30,0.3606,2676.48,446.08,2745.0487345656425,457.5081224276071,0.0,0.0,0.0,640.3386557365799,640.3386557365799,194.2586557365799,0.0,0.0,0.0,8184.369364970648,8359.202155133571,230.9061192586107,0.0,0.0
2025-02-01,10,1:30-1:40,0.3582,2830.598,471.7663333333333,2928.174376006894,488.0290626678156,0.0,0.0,0.0,535.312703144006,535.312703144006,63.54636981067273,0.0,0.0,0.0,8359.202155133571,8416.393887963177,191.74901026618298,0.0,0.0
2025-02-01,11,1:40-1:50,0.3041,2688.1558,448.02596666666665,2984.5317093146823,497.421951552447,0.0,0.0,0.0,543.0183682191137,543.0183682191137,94.992401552447,0.0,0.0,0.0,8416.393887963177,8501.887049360379,165.13188577543247,0.0,0.0
2025-02-01,12,1:50-2:00,0.2537,2384.42,397.4033333333333,2877.885347475046,479.6475579125076,0.0,0.0,0.0,469.15193951529244,469.15193951529244,71.74860618195913,0.0,0.0,0.0,8501.887049360379,8566.460794924142,119.02384705502968,0.0,0.0
2025-02-01,13,2:00-2:10,0.3346,2604.5438,434.0906333333333,2925.4970255036565,487.5828375839427,0.0,0.0,0.0,512.877541209863,512.877541209863,78.78690787652971,0.0,0.0,0.0,8566.460794924142,8637.369012013018,171.60882528882016,0.0,0.0
2025-02-01,14,2:10-2:20,0.3971,2943.3655,490.5609166666666,2992.9464766225906,498.8244127704317,0.0,0.0,0.0,531.247188230728,531.247188230728,40.68627156406143,0.0,0.0,0.0,8637.369012013018,8673.986656420673,210.95825844642212,0.0,0.0
2025-02-01,15,2:20-2:30,0.367,3019.32,503.22,3009.5964233358786,501.59940388931307,0.0,0.0,0.0,529.2677771670214,529.2677771670214,26.047777167021422,0.0,0.0,0.0,8673.986656420673,8697.429655870992,194.24127422029687,0.0,0.0
2025-02-01,16,2:30-2:40,0.3185,2844.4369,474.07281666666665,3060.938244029175,510.1563740048625,0.0,0.0,0.0,526.8347478143863,526.8347478143863,52.76193114771968,0.0,0.0,0.0,8697.429655870992,8744.91539390394,167.79686717888205,0.0,0.0
2025-02-01,17,2:40-2:50,0.3285,2768.3064,461.38439999999997,3130.147683154237,521.6912805257061,0.0,0.0,0.0,544.5559805257061,544.5559805257061,83.17158052570613,0.0,0.0,0.0,8744.91539390394,8819.769816377076,178.88663960269446,0.0,0.0
2025-02-01,18,2:50-3:00,0.3772,2861.65,476.94166666666666,3185.884078589389,530.9806797648981,0.0,0.0,0.0,566.9451851999517,566.9451851999517,90.00351853328499,0.0,0.0,0.0,8819.769816377076,8900.772983057033,213.85172385742175,0.0,0.0
2025-02-01,19,3:00-3:10,0.3815,2900.3973,483.39955,3204.6506325842824,534.108438764047,0.0,0.0,0.0,567.5676797228788,567.5676797228788,84.1681297228788,0.0,0.0,0.0,8900.772983057033,8976.524299807625,216.52706981427826,0.0,0.0
2025-02-01,20,3:10-3:20,0.3822,2919.6115,486.6019166666666,3145.816719349443,524.3027865582404,0.0,0.0,0.0,561.3663657357167,561.3663657357167,74.7644490690501,0.0,0.0,0.0,8976.524299807625,9043.81230396977,214.55422498419094,0.0,0.0
2025-02-01,21,3:20-3:30,0.3962,2993.09,498.84833333333336,3049.2890351815113,508.21483919691855,0.0,0.0,0.0,522.962272866848,522.962272866848,24.113939533514667,0.0,0.0,0.0,9043.81230396977,9065.514849549932,207.1976525098452,0.0,0.0
2025-02-01,22,3:30-3:40,0.3879,3109.8584,518.3097333333333,3015.6255833277414,502.60426388795685,0.0,0.0,0.0,529.2348210308139,529.2348210308139,10.925087697480649,0.0,0.0,0.0,9065.514849549932,9075.347428477666,205.29018707785272,0.0,0.0
2025-02-01,23,3:40-3:50,0.3405,3054.8008,509.13346666666666,3048.730416867582,508.1217361445969,0.0,0.0,0.0,522.7169075731683,522.7169075731683,13.583440906501664,0.0,0.0,0.0,9075.347428477666,9087.572525293517,177.98510702866383,0.0,0.0
2025-02-01,24,3:50-4:00,0.3164,2901.7,483.6166666666666,3141.031925229067,523.5053208715111,0.0,0.0,0.0,546.1055589667493,546.1055589667493,62.48889230008268,0.0,0.0,0.0,9087.572525293517,9143.81252836359,172.78779885707948,0.0,0.0
2025-02-01,25,4:00-4:10,0.3916,2947.1208,491.1868,3261.1003993771214,543.5167332295202,0.0,0.0,0.0,575.1373665628535,575.1373665628535,83.95056656285345,0.0,0.0,0.0,9143.81252836359,9219.368038270159,225.22379274601343,0.0,0.0
2025-02-01,26,4:10-4:20,0.4109,3027.8717,504.64528333333334,3239.7682849451426,539.9613808241904,0.0,0.0,0.0,569.0643552163148,569.0643552163148,64.41907188298143,0.0,0.0,0.0,9219.368038270159,9277.345202964842,233.82854355838373,0.0,0.0
2025-02-01,27,4:20-4:30,0.361,3033.47,505.57833333333326,3150.335036763275,525.0558394605458,0.0,0.0,0.0,554.9877442224506,554.9877442224506,49.40941088911734,0.0,0.0,0.0,9277.345202964842,9321.813672765047,200.35057566430467,0.0,0.0
2025-02-01,28,4:30-4:40,0.3799,3019.3858,503.23096666666663,3226.366757680089,537.7277929466815,0.0,0.0,0.0,548.43414785727,548.43414785727,45.203181190603345,0.0,0.0,0.0,9321.813672765047,9362.49653583659,208.35013277097687,0.0,0.0
2025-02-01,29,4:40-4:50,0.4094,3017.0819,502.84698333333336,3247.6414332007407,541.2735722001235,0.0014,0.0016666666666666668,0.0016666666666666668,540.8602275740858,540.8602275740858,38.013477574085755,0.0,0.0,0.0,9362.49653583659,9396.708665653267,221.42817716883073,0.0,0.0
2025-02-01,30,4:50-5:00,0.4052,2997.85,499.64166666666665,3181.172759793157,530.1954599655262,0.0,0.0,0.0,540.5987764892141,540.5987764892141,40.95710982254741,0.0,0.0,0.0,9396.708665653267,9433.570064493559,219.05062423342955,0.0,0.0
2025-02-01,31,5:00-5:10,0.3896,2932.7015,488.78358333333335,3225.443817300261,537.5739695500434,0.0,0.0,0.0,546.69638621671,546.69638621671,57.912802883376685,0.0,0.0,0.0,9433.570064493559,9485.691587088597,212.99291207003023,0.0,0.0
2025-02-01,32,5:10-5:20,0.3908,2991.1125,498.51875,3294.7519982301155,549.1253330383526,0.0199,0.0236,0.0236,572.9652374575593,572.9652374575593,74.44980412422592,0.0,0.0,0.0,9485.691587088597,9552.6964108004,223.91481479841417,0.0,0.0
2025-02-01,33,5:20-5:30,0.3821,3175.34,529.2233333333334,3339.265892845575,556.5443154742625,0.0,0.0,0.0,596.9872900908184,596.9872900908184,67.76395675748506,0.0,0.0,0.0,9552.6964108004,9613.683971882136,228.1088435437017,0.0,0.0
2025-02-01,34,5:30-5:40,0.3475,3284.4619,547.4103166666666,3380.082912882561,563.3471521470934,0.0,0.0,0.0,606.109136746913,606.109136746913,58.69882008024638,0.0,0.0,0.0,9613.683971882136,9666.512909954357,210.62292501955227,0.0,0.0
2025-02-01,35,5:40-5:50,0.5182,3187.3644,531.2274,3293.599567818436,548.9332613030726,0.2774,0.32836666666666664,0.32836666666666664,564.9245240014853,564.9245240014853,33.74335733481871,0.0,0.0,0.0,9666.512909954357,9696.881931555694,292.7438883375697,0.0,0.0
2025-02-01,36,5:50-6:00,0.8102,3065.9,510.98333333333335,3205.5560756772493,534.2593459462082,0.0,0.0,0.0,0.0,0.0,0.0,510.98333333333335,0.0,0.0,9696.881931555694,9129.122672296435,0.0,0.0,0.0
2025-02-01,37,6:00-6:10,0.8756,3211.1231,535.1871833333332,3369.2766615607434,561.5461102601239,0.0,0.0,0.0,0.0,0.0,0.0,535.1871833333332,0.0,0.0,9129.122672296435,8534.470246370509,0.0,0.0,0.0
2025-02-01,38,6:10-6:20,0.818,3203.9961,533.9993499999999,3421.4019091625382,570.2336515270897,3.8641,4.5739,4.5739,0.0,0.0,0.0,533.3553333333333,0.0,0.0,8534.470246370509,7941.853209333472,0.0,0.0,0.0
2025-02-01,39,6:20-6:30,0.7708,3027.12,504.52,3294.0385604690614,549.0064267448436,0.0,0.0,0.0,0.0,0.0,0.0,504.52,0.0,0.0,7941.853209333472,7381.275431555694,0.0,0.0,0.0
2025-02-01,40,6:30-6:40,0.7715,3117.3221,519.5536833333333,3316.2936816842343,552.7156136140391,0.0,0.0,0.0,0.0,0.0,0.0,519.5536833333333,0.0,0.0,7381.275431555694,6803.993561185323,0.0,0.0,0.0
2025-02-01,41,6:40-6:50,0.8181,3398.49,566.415,3582.5737014587853,597.0956169097975,89.6095,76.5167,76.5167,0.0,0.0,0.0,551.4800833333333,0.0,0.0,6803.993561185323,6191.2379130371755,0.0,0.0,0.0
2025-02-01,42,6:50-7:00,0.8678,3652.75,608.7916666666666,3860.864330398808,643.4773883998013,340.5,320.6875,320.6875,0.0,0.0,0.0,552.0416666666666,0.0,0.0,6191.2379130371755,5577.858283407546,0.0,0.0,0.0
2025-02-01,43,7:00-7:10,0.864,3703.2843,617.2140499999999,3825.2868015288104,637.5478002548017,615.936,582.3158666666666,582.3158666666666,0.0,0.0,0.0,514.5580499999999,0.0,0.0,5577.858283407546,5006.1271167408795,0.0,0.0,0.0
2025-02-01,44,7:10-7:20,0.8237,3572.3788,595.3964666666666,3808.8874943193473,634.8145823865578,884.9275,854.3799999999999,854.3799999999999,244.28395137649738,244.28395137649738,0.0,203.62459862350255,0.0,0.0,5006.1271167408795,4779.877562714765,201.2166907488209,0.0,0.0
2025-02-01,45,7:20-7:30,0.7654,3477.22,579.5366666666666,3932.4770401351907,655.4128400225318,1140.675,1143.6125,1143.6125,562.5595662130079,562.5595662130079,173.1353995463412,0.0,0.0,0.0,4779.877562714765,4935.699422306472,430.58309197943623,0.0,0.0
2025-02-01,46,7:30-7:40,0.7258,3654.0022,609.0003666666667,3973.3005677020165,662.2167612836694,1388.0797,1439.4685000000002,1439.4685000000002,537.2682930297012,537.2682930297012,159.61454302970122,0.0,0.0,0.0,4935.699422306472,5079.352511033203,389.9493270809572,0.0,0.0
2025-02-01,47,7:40-7:50,0.8697,3841.4201,640.2366833333333,3861.431182730084,643.5718637883473,1674.452,1733.5699999999997,1733.5699999999997,0.0,0.0,0.0,361.16134999999997,0.0,0.0,5079.352511033203,4678.062122144314,0.0,0.0,0.0
2025-02-01,48,7:50-8:00,1.0783,3803.65,633.9416666666666,3743.8350386936745,623.9725064489458,2004.1125,2033.8875,2033.8875,0.0,0.0,0.0,299.92291666666665,0.0,0.0,4678.062122144314,4344.814436959129,0.0,0.0,0.0
2025-02-01,49,8:00-8:10,1.0448,3545.4639,590.91065,3819.3874933185684,636.5645822197614,2332.1065,2347.4696000000004,2347.4696000000004,0.0,0.0,0.0,202.22623333333343,0.0,0.0,4344.814436959129,4120.118622144314,0.0,0.0,0.0
2025-02-01,50,8:10-8:20,0.9667,3411.349,568.5581666666667,3812.9395937026175,635.4899322837696,2632.5934,2619.815,2619.815,0.0,0.0,0.0,129.7926,0.0,0.0,4120.118622144314,3975.904622144314,0.0,0.0,0.0
2025-02-01,51,8:20-8:30,0.9429,3445.37,574.2283333333332,3701.708743495232,616.9514572492053,2927.6625,2885.3250000000003,2885.3250000000003,0.0,0.0,0.0,86.28458333333327,0.0,0.0,3975.904622144314,3880.032862885055,0.0,0.0,0.0
2025-02-01,52,8:30-8:40,0.893,3467.1139,577.8523166666666,3774.6311268132645,629.1051878022107,3251.299,3229.6453333333334,3229.6453333333334,0.0,0.0,0.0,35.96915000000001,0.0,0.0,3880.032862885055,3840.0671406628326,0.0,0.0,0.0
2025-02-01,53,8:40-8:50,0.9266,3894.4802,649.0800333333333,4069.0198240942645,678.1699706823774,3519.7566,3532.0938999999994,3532.0938999999994,0.0,0.0,0.0,62.45393333333334,0.0,0.0,3840.0671406628326,3770.6738814035734,0.0,0.0,0.0
2025-02-01,54,8:50-9:00,0.9995,4422.76,737.1266666666667,4388.236540599432,731.372756766572,3731.7,3768.0625,3768.0625,0.0,0.0,0.0,115.17666666666673,0.0,0.0,3770.6738814035734,3642.6998073294994,0.0,0.0,0.0
2025-02-01,55,9:00-9:10,0.9415,4267.5205,711.2534166666666,4470.53856533064,745.08976088844,3992.5758,4033.0404666666664,4033.0404666666664,0.0,0.0,0.0,45.824116666666555,0.0,0.0,3642.6998073294994,3591.7841221443146,0.0,0.0,0.0
2025-02-01,56,9:10-9:20,0.8825,4190.1702,698.3616999999999,4455.300619785542,742.5501032975902,4378.3332,4308.291366666667,4308.291366666667,0.0,0.0,31.360500000000002,0.0,0.0,0.0,3591.7841221443146,3620.0085721443147,0.0,0.0,0.0
2025-02-01,57,9:20-9:30,0.8929,4418.32,736.3866666666665,4441.56508359103,740.2608472651716,4788.525,4558.475,4558.475,0.0,0.0,61.70083333333332,0.0,0.0,0.0,3620.0085721443147,3675.5393221443146,0.0,0.0,0.0
2025-02-01,58,9:30-9:40,0.9059,4399.2754,733.2125666666667,4402.529201032145,733.7548668386908,5029.9241,4777.905733333334,4777.905733333334,0.0,0.0,105.10811666666666,0.0,0.0,0.0,3675.5393221443146,3770.1366271443144,0.0,0.0,0.0
