日期,小区负载电量_kWh,决策用负荷预测电量_kWh,光伏实际电量_kWh,计划购电量_kWh,调整购电量_kWh,调整净变化_kWh,上调购电量_kWh,下调购电量_kWh,紧急购电量_kWh,充电量_kWh,放电量_kWh,实际弃光量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元,0:00储电量_kWh,24:00储电量_kWh
2025-02-01,76305.20628333333,80009.91998333336,41927.03035,42104.96252963244,42104.96252963244,0.0,0.0,0.0,0.0,15221.852836980248,13426.431253166658,5931.365012485518,20320.64718601373,0.0,0.0,20320.64718601373,3949.298520021925,2730.7091253411945
2025-02-02,121705.97265,118986.9247507631,43349.69469999999,76183.5362940854,76183.5362940854,0.0,0.0,0.0,3956.17587383511,16401.326375578796,14662.7125770259,44.820419367614136,54518.11985546157,0.0,22100.361019833894,76618.48087529546,2730.7091253411945,1200.0
2025-02-03,122603.769,121705.97264999998,42386.85249999999,84125.79406934565,84125.79406934565,0.0,0.0,0.0,481.45397943054553,21831.51611462156,17631.872076228778,190.68751038340986,60627.42315149409,0.0,2592.7821500729324,63220.205301567024,1200.0,1257.3955295718758
2025-02-04,121578.09884999998,122603.769,40383.2349,97253.20271251883,97253.20271251883,0.0,0.0,0.0,0.0,20624.57030733752,14671.08770000843,10104.856155189736,73847.9627974623,0.0,0.0,73847.9627974623,1257.3955295718758,3518.300250610723
2025-02-05,121991.08443333334,121578.09884999998,41242.65745,91689.91256459561,91689.91256459561,0.0,0.0,0.0,0.0,18531.236843626295,15134.861686199807,7545.11042383578,70069.6901426883,0.0,0.0,70069.6901426883,3518.300250610723,3379.900425207938
2025-02-06,122252.1627,121991.08443333334,41981.10548333333,95396.01525332677,95396.01525332677,0.0,0.0,0.0,0.0,19383.419612032187,15648.759089937588,11390.297514565513,71078.8808064985,0.0,0.0,71078.8808064985,3379.900425207938,3437.4679761062557
2025-02-07,76168.59693333332,78196.99341557192,44362.91726666666,42265.4306966882,42265.4306966882,0.0,0.0,0.0,0.0,16212.373942404924,13732.593851675629,7979.970939292243,19651.4893522133,0.0,0.0,19651.4893522133,3437.4679761062557,2770.1669112977684
2025-02-08,75746.78751666666,76168.59693333332,44169.6248,40296.68264138566,40296.68264138566,0.0,0.0,0.0,0.0,16080.430608086837,13481.468735656259,6120.558052288421,18542.199920351988,0.0,0.0,18542.199920351988,2770.1669112977684,2263.1447522911876
2025-02-09,121547.90356666666,118746.56780074899,41992.48759999999,75995.91384529935,75995.91384529935,0.0,0.0,0.0,5806.774626057301,16776.771878765278,14546.015498861947,16.516124786659816,53689.2164344722,0.0,32200.517137326337,85889.73357179854,2263.1447522911876,1200.0
2025-02-10,121477.56451666665,121547.90356666665,47150.92693333333,83325.81857809584,83325.81857809584,0.0,0.0,0.0,0.0,20177.500997264717,16026.03767301768,4847.717670515472,58035.92653204099,0.0,0.0,58035.92653204099,1200.0,1553.0423719630526
2025-02-11,121441.28161666667,121477.56451666664,46220.68448333333,82484.03431171358,82484.03431171358,0.0,0.0,0.0,141.0007192987447,19643.8703565128,15402.37750340079,3162.9450445669813,60050.131558375295,0.0,725.1600100727666,60775.29156844806,1553.0423719630526,2118.7729112681404
2025-02-12,121363.85288333334,121441.28161666667,46097.116749999994,81336.37872367041,81336.37872367041,0.0,0.0,0.0,0.0,19674.7510110019,15835.517301271622,2230.4088806067966,57868.95976608566,0.0,0.0,57868.95976608566,2118.7729112681404,2231.0295975347094
2025-02-13,121310.28371666666,121363.85288333335,49980.80469999999,80504.84083791845,80504.84083791845,0.0,0.0,0.0,0.0,17022.035503754574,13613.378457928447,5766.704775425672,57464.27911846499,0.0,0.0,57464.27911846499,2231.0295975347094,2424.8854865488834
2025-02-14,75872.63794999999,77250.70186713914,46070.83613333333,35300.86327842581,35300.86327842581,0.0,0.0,0.0,0.0,17903.052964710914,15192.801207031263,2788.809704079492,15003.571843116068,0.0,0.0,15003.571843116068,2424.8854865488834,1656.7429247539683
2025-02-15,76054.55225,75872.63794999999,46774.46115,35194.96310970592,35194.96310970592,0.0,0.0,0.0,452.08034012052013,18075.97722060643,15052.61018096978,3343.58531018979,15215.261464456244,0.0,899.3474270472254,16114.608891503469,1656.7429247539683,1200.0
2025-02-16,121276.97728333331,119698.8310443424,45899.59818333333,76784.08829326717,76784.08829326717,0.0,0.0,0.0,2745.1145893523712,21136.98911026501,17115.891769910697,130.72644226522357,51848.42092782273,0.0,16042.785170662737,67891.20609848546,1200.0,1205.6326771155123
2025-02-17,120960.37281666666,121276.97728333331,49776.50964999999,82783.78096381648,82783.78096381648,0.0,0.0,0.0,0.0,19199.439679035797,15338.022923677889,7738.501041791895,56417.9633115974,0.0,0.0,56417.9633115974,1205.6326771155123,1442.8806952723041
2025-02-18,121331.27123333333,120960.37281666664,49239.883449999994,78693.015618864,78693.015618864,0.0,0.0,0.0,9.81642015399325,21704.670295598808,17054.007940718882,1960.7819008047386,52491.09648621296,0.0,50.0244771047496,52541.12096331771,1442.8806952723041,2028.186249401358
2025-02-19,121866.79411666666,121331.27123333333,48987.466733333335,76236.51921143311,76236.51921143311,0.0,0.0,0.0,817.1732615637429,21319.34038444778,17987.559982311694,842.5846875274394,51134.460789248726,0.0,3920.2565405642645,55054.71732981299,2028.186249401358,1229.4148372802624
2025-02-20,121105.25703333333,121866.79411666666,50112.12329999999,78021.9763051385,78021.9763051385,0.0,0.0,0.0,7.216054377917203,21909.040534663935,17178.59012593831,2305.608217457445,52847.70737744464,0.0,40.48567308730447,52888.19305053195,1229.4148372802624,1860.2289563241238
2025-02-21,75802.00203333332,76419.4703976089,50241.74,34452.61776601036,34452.61776601036,0.0,0.0,0.0,0.0,17568.123095148705,14435.714188441008,5759.946825969323,14784.929185052228,0.0,0.0,14784.929185052228,1860.2289563241238,1631.8573103568338
2025-02-22,75682.24226666667,75802.00203333332,47837.47938333333,34030.69008517076,34030.69008517076,0.0,0.0,0.0,244.09741499388596,17783.759940366384,14793.517131017921,3439.781807482853,14539.687492125744,0.0,490.3917067227169,15030.079198848462,1631.8573103568338,1200.0
