日期,电价缩放比例,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,总费用_元
2025-03-20,0.9,72545.07421109361,72545.07421109361,402.05389008333987,42790.730622492796
2025-03-20,0.95,72545.07421109361,72545.07421109361,402.05389008333987,45167.9934348535
2025-03-20,1.0,72545.07421109361,72545.07421109361,402.05389008333987,47545.256247214216
2025-03-20,1.05,72545.07421109361,72545.07421109361,402.05389008333987,49922.51905957493
2025-03-20,1.1,72545.07421109361,72545.07421109361,402.05389008333987,52299.78187193564
2025-06-21,0.9,36037.35884483084,36037.35884483084,5.684341886080802e-14,17310.52389343497
2025-06-21,0.95,36037.35884483084,36037.35884483084,5.684341886080802e-14,18272.219665292465
2025-06-21,1.0,36037.35884483084,36037.35884483084,5.684341886080802e-14,19233.915437149968
2025-06-21,1.05,36037.35884483084,36766.35254066417,5.684341886080802e-14,20625.024945538087
2025-06-21,1.1,36037.35884483084,38590.64340712507,5.684341886080802e-14,22794.862876115552
2025-09-23,0.9,68276.81518487277,68276.81518487277,6.375000000000114,41675.54911017596
2025-09-23,0.95,68276.81518487277,68276.81518487277,6.375000000000114,43990.85739407462
2025-09-23,1.0,68276.81518487277,68276.81518487277,6.375000000000114,46306.165677973295
2025-09-23,1.05,68276.81518487277,68276.81518487277,6.375000000000114,48621.47396187197
2025-09-23,1.1,68276.81518487277,68276.81518487277,6.375000000000114,50936.78224577062
2025-12-21,0.9,92381.8599591614,94277.73868264799,2.2737367544323206e-13,66328.58998760923
2025-12-21,0.95,92381.8599591614,94277.82924709134,2.2737367544323206e-13,70013.61951176413
2025-12-21,1.0,92381.8599591614,94277.82924709134,2.2737367544323206e-13,73698.54685448857
2025-12-21,1.05,92381.8599591614,94277.82924709134,2.2737367544323206e-13,77383.474197213
2025-12-21,1.1,92381.8599591614,94277.82924709134,2.2737367544323206e-13,81068.40153993743
