日期,情景,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元,更新接受次数,更新拒绝次数,保持计划不可行次数,预计调整节省_元
2025-02-01,仅0:00预报,54453.356820416804,54453.356820416804,0.0,28505.472503602858,0.0,0.0,28505.472503602858,0,0,0,0.0
2025-02-01,更新至6:00,54453.356820416804,54453.356820416804,0.0,28505.472503602858,0.0,0.0,28505.472503602858,0,1,0,0.0
2025-02-01,更新至12:00,54453.356820416804,48770.01185878435,0.0,28505.472503602858,1279.8375814750962,0.0,29785.310085077952,1,1,1,
2025-02-01,更新至18:00,54453.356820416804,47914.691971859545,0.0,28505.472503602858,1776.4476322571236,0.0,30281.920135859982,2,1,2,
2025-02-02,仅0:00预报,97546.52547939884,97546.52547939884,0.0,76450.52661240267,0.0,0.0,76450.52661240267,0,0,0,0.0
2025-02-02,更新至6:00,97546.52547939884,97546.52547939884,0.0,76450.52661240267,0.0,0.0,76450.52661240267,0,1,0,0.0
2025-02-02,更新至12:00,97546.52547939884,94283.23283352083,0.0,76450.52661240267,951.5599501183423,0.0,77402.08656252101,1,1,1,
2025-02-02,更新至18:00,97546.52547939884,93283.09858505559,0.0,76450.52661240267,1585.737858252866,0.0,78036.26447065553,2,1,2,
2025-02-03,仅0:00预报,105558.43369076762,105558.43369076762,0.0,83314.45734053961,0.0,0.0,83314.45734053961,0,0,0,0.0
2025-02-03,更新至6:00,105558.43369076762,105558.43369076762,0.0,83314.45734053961,0.0,0.0,83314.45734053961,0,1,0,0.0
2025-02-03,更新至12:00,105558.43369076762,103427.42206208437,0.0,83314.45734053961,690.2649889615652,0.0,84004.72232950118,1,1,1,
2025-02-03,更新至18:00,105558.43369076762,103104.1608909979,0.0,83314.45734053961,900.9130961192993,0.0,84215.37043665891,2,1,2,
2025-02-04,仅0:00预报,114066.20309965574,114066.20309965574,0.0,88556.1781108598,0.0,0.0,88556.1781108598,0,0,0,0.0
2025-02-04,更新至6:00,114066.20309965574,113753.32898586661,0.0,88556.1781108598,162.87316211656182,0.0,88719.05127297636,1,0,1,
2025-02-04,更新至12:00,114066.20309965574,113742.81795124414,0.0,88556.1781108598,165.73794460291543,0.0,88721.91605546272,2,0,2,
2025-02-04,更新至18:00,114066.20309965574,113742.81795124414,0.0,88556.1781108598,165.73794460291543,0.0,88721.91605546272,2,1,2,
2025-02-05,仅0:00预报,99636.63941314054,99636.63941314054,1.1368683772161603e-13,76800.78126035503,0.0,5.928200152993667e-13,76800.78126035503,0,0,0,0.0
2025-02-05,更新至6:00,99636.63941314054,99636.63941314054,1.1368683772161603e-13,76800.78126035503,0.0,5.928200152993667e-13,76800.78126035503,0,1,0,4.547473508864641e-13
2025-02-05,更新至12:00,99636.63941314054,99636.63941314054,1.1368683772161603e-13,76800.78126035503,0.0,5.928200152993667e-13,76800.78126035503,0,2,0,4.547473508864641e-13
2025-02-05,更新至18:00,99636.63941314054,99636.63941314054,1.1368683772161603e-13,76800.78126035503,0.0,5.928200152993667e-13,76800.78126035503,0,3,0,4.547473508864641e-13
2025-02-06,仅0:00预报,100239.0209478563,100239.0209478563,2.2737367544323206e-13,80609.66344002397,0.0,1.1801262189692354e-12,80609.66344002397,0,0,0,0.0
2025-02-06,更新至6:00,100239.0209478563,100239.0209478563,2.2737367544323206e-13,80609.66344002397,0.0,1.1801262189692354e-12,80609.66344002397,0,1,0,0.0
2025-02-06,更新至12:00,100239.0209478563,99358.44526046373,2.2737367544323206e-13,80609.66344002397,256.5047316678688,1.1801262189692354e-12,80866.16817169184,1,1,1,
2025-02-06,更新至18:00,100239.0209478563,99358.44526046373,2.2737367544323206e-13,80609.66344002397,256.5047316678688,1.1801262189692354e-12,80866.16817169184,1,2,1,
2025-02-07,仅0:00预报,45252.72582737495,45252.72582737495,0.0,19297.517817399355,0.0,0.0,19297.517817399355,0,0,0,0.0
2025-02-07,更新至6:00,45252.72582737495,45252.72582737495,0.0,19297.517817399355,0.0,0.0,19297.517817399355,0,1,0,0.0
2025-02-07,更新至12:00,45252.72582737495,45842.114979844075,0.0,19297.517817399355,300.36179187378866,0.0,19597.879609273143,1,1,0,7.448043286414759
2025-02-07,更新至18:00,45252.72582737495,45294.25103313626,0.0,19297.517817399355,21.134253472221772,0.0,19318.652070871576,2,1,0,56.854318797414635
2025-02-08,仅0:00预报,38219.79854871399,38219.79854871399,0.0,15908.670572436906,0.0,0.0,15908.670572436906,0,0,0,0.0
2025-02-08,更新至6:00,38219.79854871399,38381.14892632819,0.0,15908.670572436906,161.38647892269753,0.0,16070.057051359603,1,0,0,122.70879985509237
2025-02-08,更新至12:00,38219.79854871399,38421.34124487378,2.2737367544323206e-13,15908.670572436906,201.12531712220317,8.288907338283025e-13,16109.79588955911,2,0,0,142.41684624962772
2025-02-08,更新至18:00,38219.79854871399,38421.34124487378,2.2737367544323206e-13,15908.670572436906,201.12531712220317,8.288907338283025e-13,16109.79588955911,2,1,0,142.41684624962772
2025-02-09,仅0:00预报,89397.15968575483,89397.15968575483,0.0,64236.743348569806,0.0,0.0,64236.743348569806,0,0,0,0.0
2025-02-09,更新至6:00,89397.15968575483,89397.15968575483,0.0,64236.743348569806,0.0,0.0,64236.743348569806,0,1,0,0.0
2025-02-09,更新至12:00,89397.15968575483,89397.15968575483,0.0,64236.743348569806,0.0,0.0,64236.743348569806,0,2,0,0.0
2025-02-09,更新至18:00,89397.15968575483,89397.15968575483,0.0,64236.743348569806,0.0,0.0,64236.743348569806,0,3,0,0.0
2025-02-10,仅0:00预报,82952.06393279252,82952.06393279252,3.410605131648481e-13,57319.076878526444,0.0,1.7341221791866702e-12,57319.076878526444,0,0,0,0.0
2025-02-10,更新至6:00,82952.06393279252,82952.06393279252,3.410605131648481e-13,57319.076878526444,0.0,1.7341221791866702e-12,57319.076878526444,0,1,0,0.0
2025-02-10,更新至12:00,82952.06393279252,82952.06393279252,3.410605131648481e-13,57319.076878526444,0.0,1.7341221791866702e-12,57319.076878526444,0,2,0,0.0
2025-02-10,更新至18:00,82952.06393279252,82952.06393279252,3.410605131648481e-13,57319.076878526444,0.0,1.7341221791866702e-12,57319.076878526444,0,3,0,0.0
2025-02-11,仅0:00预报,84492.38803030326,84492.38803030326,0.0,58444.68511658439,0.0,0.0,58444.68511658439,0,0,0,0.0
2025-02-11,更新至6:00,84492.38803030326,84495.42256363659,0.0,58444.68511658439,6.082115160000247,0.0,58450.767231744394,1,0,0,2.0186626093327504
2025-02-11,更新至12:00,84492.38803030326,84495.42256363659,0.0,58444.68511658439,6.082115160000247,0.0,58450.767231744394,1,1,0,2.0186626093327504
2025-02-11,更新至18:00,84492.38803030326,84495.42256363659,0.0,58444.68511658439,6.082115160000247,0.0,58450.767231744394,1,2,0,2.0186626093327504
2025-02-12,仅0:00预报,84612.32759885583,84612.32759885583,0.0,58661.72943116022,0.0,0.0,58661.72943116022,0,0,0,0.0
2025-02-12,更新至6:00,84612.32759885583,84612.32759885583,0.0,58661.72943116022,0.0,0.0,58661.72943116022,0,1,0,0.0
2025-02-12,更新至12:00,84612.32759885583,84612.32759885583,0.0,58661.72943116022,0.0,0.0,58661.72943116022,0,2,0,0.0
2025-02-12,更新至18:00,84612.32759885583,84612.32759885583,0.0,58661.72943116022,0.0,0.0,58661.72943116022,0,3,0,0.0
2025-02-13,仅0:00预报,82345.05184628534,82345.05184628534,2.2737367544323206e-13,55570.547851762814,0.0,1.1634710972430184e-12,55570.547851762814,0,0,0,0.0
2025-02-13,更新至6:00,82345.05184628534,82345.05184628534,2.2737367544323206e-13,55570.547851762814,0.0,1.1634710972430184e-12,55570.547851762814,0,1,0,0.0
2025-02-13,更新至12:00,82345.05184628534,82345.05184628534,2.2737367544323206e-13,55570.547851762814,0.0,1.1634710972430184e-12,55570.547851762814,0,2,0,0.0
2025-02-13,更新至18:00,82345.05184628534,82345.05184628534,2.2737367544323206e-13,55570.547851762814,0.0,1.1634710972430184e-12,55570.547851762814,0,3,0,0.0
2025-02-14,仅0:00预报,38519.16444927644,38519.16444927644,0.0,16089.747757146639,0.0,0.0,16089.747757146639,0,0,0,0.0
2025-02-14,更新至6:00,38519.16444927644,38906.39453564474,0.0,16089.747757146639,200.59414555258752,0.0,16290.341902699227,1,0,0,7.51774526103236
2025-02-14,更新至12:00,38519.16444927644,38887.27322731141,0.0,16089.747757146639,186.1894199300881,0.0,16275.937177076727,2,0,0,8.639340905794597
