日期,预报整体缩放比例,计划购电量_kWh,调整购电量_kWh,紧急购电量_kWh,总费用_元
2025-03-20,0.9,73168.82219100822,74577.47816724156,1605.7055316666665,55292.2568845793
2025-03-20,0.95,70338.03589521605,71873.39169769546,2271.81051833333,57349.50943128359
2025-03-20,1.0,67411.1808462963,69188.25712098765,3013.450281893004,57991.41227085391
2025-03-20,1.05,64557.60542941934,66881.13059150268,4413.501784691372,62042.87555567411
2025-03-20,1.1,61754.098399218106,64680.381953580254,5733.718964366667,66700.06195689504
2025-06-21,0.9,35401.46106185185,35979.41082185185,799.4800507333289,19482.30537284908
2025-06-21,0.95,34846.16781333333,35424.14553333333,939.292953333333,19595.514260955417
2025-06-21,1.0,34290.87456481481,34899.272164814814,1081.0700166666659,19737.4122983475
2025-06-21,1.05,33737.64145599794,34376.45893599794,1356.2602343416665,20189.521727871666
2025-06-21,1.1,33188.73813863045,33865.630511963784,1995.101974792668,21590.084238501713
2025-09-23,0.9,74259.35196471399,74259.35196471399,1340.3620938999998,54651.53481101514
2025-09-23,0.95,71293.64545307109,71293.64545307109,1931.6306883333345,55542.8224226795
2025-09-23,1.0,68276.87073971193,68276.87073971193,3210.1426368333314,59100.79988739513
2025-09-23,1.05,65258.411767304526,65258.411767304526,5018.070505833335,64982.638164092226
2025-09-23,1.1,62353.39253572016,62353.39253572016,6893.449517427994,70957.23455154015
2025-12-21,0.9,97406.80011751028,98106.3369697325,1213.8678456500015,81247.27816239545
2025-12-21,0.95,95591.43565350822,96329.83566418724,1643.9951462416718,82010.17169591691
2025-12-21,1.0,93776.07118950615,94550.43078333333,2467.360283333334,85107.66413952866
2025-12-21,1.05,91860.12842499999,93167.66457439298,3184.7155331749964,88459.58008811847
2025-12-21,1.1,90062.08453751028,91453.47278446502,4378.602858333334,93468.11233783359
