序号,自然时段,附件1时间标签,电价(元/kWh),小区负载(kW),光伏预测功率(kW),净负荷功率(kW),负载电量(kWh),光伏电量(kWh),净负荷电量(kWh)
1,0:00-0:10,00:10:00,0.4248,3439.8466,0.0,3439.8466,573.3077666666666,0.0,573.3077666666666
2,0:10-0:20,00:20:00,0.4245,3437.9792,0.0,3437.9792,572.9965333333333,0.0,572.9965333333333
3,0:20-0:30,00:30:00,0.4269,3444.3031,0.0,3444.3031,574.0505166666667,0.0,574.0505166666667
4,0:30-0:40,00:40:00,0.4272,3454.4437,0.0,3454.4437,575.7406166666666,0.0,575.7406166666666
5,0:40-0:50,00:50:00,0.4271,3458.8273,0.0,3458.8273,576.4712166666666,0.0,576.4712166666666
6,0:50-1:00,01:00:00,0.4285,3459.8401,0.0,3459.8401,576.6400166666666,0.0,576.6400166666666
7,1:00-1:10,01:10:00,0.4311,3467.1582,0.0,3467.1582,577.8597,0.0,577.8597
8,1:10-1:20,01:20:00,0.4302,3467.9632,0.0,3467.9632,577.9938666666667,0.0,577.9938666666667
9,1:20-1:30,01:30:00,0.4279,3466.9683,0.0,3466.9683,577.82805,0.0,577.82805
10,1:30-1:40,01:40:00,0.4312,3482.4927,0.0,3482.4927,580.41545,0.0,580.41545
11,1:40-1:50,01:50:00,0.4333,3495.0841,0.0,3495.0841,582.5140166666666,0.0,582.5140166666666
12,1:50-2:00,02:00:00,0.4311,3498.4443,0.0,3498.4443,583.0740499999999,0.0,583.0740499999999
13,2:00-2:10,02:10:00,0.4293,3505.2295,0.0,3505.2295,584.2049166666666,0.0,584.2049166666666
14,2:10-2:20,02:20:00,0.4324,3512.6387,0.0,3512.6387,585.4397833333333,0.0,585.4397833333333
15,2:20-2:30,02:30:00,0.4367,3516.8685,0.0,3516.8685,586.1447499999999,0.0,586.1447499999999
16,2:30-2:40,02:40:00,0.4348,3517.9246,0.0,3517.9246,586.3207666666666,0.0,586.3207666666666
17,2:40-2:50,02:50:00,0.4335,3518.5518,0.0,3518.5518,586.4253,0.0,586.4253
18,2:50-3:00,03:00:00,0.4357,3521.0976,0.0,3521.0976,586.8496,0.0,586.8496
19,3:00-3:10,03:10:00,0.4374,3526.9261,0.0,3526.9261,587.8210166666667,0.0,587.8210166666667
20,3:10-3:20,03:20:00,0.4371,3537.2854,0.0,3537.2854,589.5475666666666,0.0,589.5475666666666
21,3:20-3:30,03:30:00,0.4356,3544.8808,0.0,3544.8808,590.8134666666666,0.0,590.8134666666666
22,3:30-3:40,03:40:00,0.4353,3541.2787,0.0,3541.2787,590.2131166666666,0.0,590.2131166666666
23,3:40-3:50,03:50:00,0.436,3546.3976,0.0,3546.3976,591.0662666666666,0.0,591.0662666666666
24,3:50-4:00,04:00:00,0.4378,3560.207,0.0,3560.207,593.3678333333332,0.0,593.3678333333332
25,4:00-4:10,04:10:00,0.4401,3561.9581,0.0,3561.9581,593.6596833333333,0.0,593.6596833333333
26,4:10-4:20,04:20:00,0.4389,3556.7183,0.0,3556.7183,592.7863833333333,0.0,592.7863833333333
27,4:20-4:30,04:30:00,0.4364,3560.0272,0.0,3560.0272,593.3378666666666,0.0,593.3378666666666
28,4:30-4:40,04:40:00,0.4393,3580.654,0.5994,3580.0546,596.7756666666667,0.0999,596.6757666666666
29,4:40-4:50,04:50:00,0.4422,3586.916,0.2345,3586.6815,597.8193333333334,0.03908333333333333,597.78025
30,4:50-5:00,05:00:00,0.4395,3571.2635,0.2885,3570.975,595.2105833333333,0.048083333333333325,595.1624999999999
