日期,因素,扰动比例,参数值,计划购电量_kWh,紧急购电量_kWh,总购电费_元
2025-03-20,负荷扰动,-0.1,0.9,54281.052075781896,0.0,32021.777301536516
2025-03-20,负荷扰动,-0.05,0.95,60401.6687507716,0.0,35848.19153010943
2025-03-20,负荷扰动,0.0,1.0,66322.04493868313,0.0,39945.115383710865
2025-03-20,负荷扰动,0.05,1.05,72259.19280639918,0.0,44206.43307026972
2025-03-20,负荷扰动,0.1,1.1,78345.92322983539,0.0,48594.76516201689
2025-03-20,光伏扰动,-0.1,0.9,71996.393216893,0.0,43713.181035507674
2025-03-20,光伏扰动,-0.05,0.95,69146.08978751028,0.0,41771.32822480854
2025-03-20,光伏扰动,0.0,1.0,66322.04493868313,0.0,39945.115383710865
2025-03-20,光伏扰动,0.05,1.05,63514.42325160494,0.0,38232.60738357117
2025-03-20,光伏扰动,0.1,1.1,60726.756739094635,0.0,36640.75905841013
2025-03-20,充放电效率,-0.1,0.81,70001.16570727501,0.0,42989.40982302881
2025-03-20,充放电效率,-0.05,0.855,68342.82544738665,0.0,41435.05015308519
2025-03-20,充放电效率,0.0,0.9,66322.04493868313,0.0,39945.115383710865
2025-03-20,充放电效率,0.05,0.9450000000000001,64427.62549883168,0.0,38556.189557794176
2025-03-20,充放电效率,0.1,0.9900000000000001,62662.280452285486,0.0,37176.49169565339
2025-03-20,紧急电价倍数,,3.0,66322.04493868313,0.0,39945.115383710865
2025-03-20,紧急电价倍数,,4.0,66322.04493868313,0.0,39945.115383710865
2025-03-20,紧急电价倍数,,5.0,66322.04493868313,0.0,39945.115383710865
2025-03-20,紧急电价倍数,,6.0,66322.04493868313,0.0,39945.115383710865
2025-03-20,紧急电价倍数,,7.0,66322.04493868313,0.0,39945.115383710865
2025-06-21,负荷扰动,-0.1,0.9,27773.5275,0.0,14338.831711207335
2025-06-21,负荷扰动,-0.05,0.95,30195.9773,0.0,16056.660944771998
2025-06-21,负荷扰动,0.0,1.0,32667.359783333333,0.0,17813.638424176665
2025-06-21,负荷扰动,0.05,1.05,35177.86714166666,0.0,19597.61712624092
2025-06-21,负荷扰动,0.1,1.1,37724.04306666667,0.0,21407.524056596172
2025-06-21,光伏扰动,-0.1,0.9,33698.20727833333,0.0,18577.978396686165
2025-06-21,光伏扰动,-0.05,0.95,33164.9492475,0.0,18183.288557038082
2025-06-21,光伏扰动,0.0,1.0,32667.359783333333,0.0,17813.638424176665
2025-06-21,光伏扰动,0.05,1.05,32208.23198833333,0.0,17466.892583959
2025-06-21,光伏扰动,0.1,1.1,31798.036876666665,0.0,17151.676207077166
2025-06-21,充放电效率,-0.1,0.81,34555.95237592592,0.0,19337.224364154255
2025-06-21,充放电效率,-0.05,0.855,33596.061537719295,0.0,18568.408768036315
2025-06-21,充放电效率,0.0,0.9,32667.359783333333,0.0,17813.638424176665
2025-06-21,充放电效率,0.05,0.9450000000000001,31854.537362698407,0.0,17057.264027969126
2025-06-21,充放电效率,0.1,0.9900000000000001,30980.488415675267,0.0,16252.946421324641
2025-06-21,紧急电价倍数,,3.0,32667.359783333333,0.0,17813.638424176665
2025-06-21,紧急电价倍数,,4.0,32667.359783333333,0.0,17813.638424176665
2025-06-21,紧急电价倍数,,5.0,32667.359783333333,0.0,17813.638424176665
2025-06-21,紧急电价倍数,,6.0,32667.359783333333,0.0,17813.638424176665
2025-06-21,紧急电价倍数,,7.0,32667.359783333333,0.0,17813.638424176665
2025-09-23,负荷扰动,-0.1,0.9,53860.577552942385,0.0,33274.42396946496
2025-09-23,负荷扰动,-0.05,0.95,60020.86884976337,0.0,37213.70830771645
2025-09-23,负荷扰动,0.0,1.0,66265.42130905349,0.0,41320.23255747086
2025-09-23,负荷扰动,0.05,1.05,72365.29817295268,0.0,45685.371866398025
2025-09-23,负荷扰动,0.1,1.1,78476.57043736626,0.0,50155.65728088047
2025-09-23,光伏扰动,-0.1,0.9,72259.19669362139,0.0,45098.52414014032
2025-09-23,光伏扰动,-0.05,0.95,69255.08662184156,0.0,43163.50860353493
2025-09-23,光伏扰动,0.0,1.0,66265.42130905349,0.0,41320.23255747086
2025-09-23,光伏扰动,0.05,1.05,63236.80005837449,0.0,39627.69861376255
2025-09-23,光伏扰动,0.1,1.1,60301.842292181056,0.0,38060.77522128883
2025-09-23,充放电效率,-0.1,0.81,70327.85750576583,0.0,44331.438117980695
2025-09-23,充放电效率,-0.05,0.855,68306.51354752004,0.0,42793.00420128482
2025-09-23,充放电效率,0.0,0.9,66265.42130905349,0.0,41320.23255747086
2025-09-23,充放电效率,0.05,0.9450000000000001,64338.8318820591,0.0,39946.73155246132
2025-09-23,充放电效率,0.1,0.9900000000000001,62572.66611441009,0.0,38637.04922034864
2025-09-23,紧急电价倍数,,3.0,66265.42130905349,0.0,41320.23255747086
2025-09-23,紧急电价倍数,,4.0,66265.42130905349,0.0,41320.23255747086
2025-09-23,紧急电价倍数,,5.0,66265.42130905349,0.0,41320.23255747086
2025-09-23,紧急电价倍数,,6.0,66265.42130905349,0.0,41320.23255747086
2025-09-23,紧急电价倍数,,7.0,66265.42130905349,0.0,41320.23255747086
2025-12-21,负荷扰动,-0.1,0.9,81217.0657263786,0.0,50064.75193357098
2025-12-21,负荷扰动,-0.05,0.95,87523.38637141975,0.0,54842.195340588296
2025-12-21,负荷扰动,0.0,1.0,93770.21493971194,0.0,59672.546780370634
2025-12-21,负荷扰动,0.05,1.05,100063.79962985596,0.0,64537.01193923123
2025-12-21,负荷扰动,0.1,1.1,106352.09263,0.0,69424.44850955566
2025-12-21,光伏扰动,-0.1,0.9,97401.52949269547,0.0,62385.19720423943
2025-12-21,光伏扰动,-0.05,0.95,95585.8722162037,0.0,61027.3955568342
2025-12-21,光伏扰动,0.0,1.0,93770.21493971194,0.0,59672.546780370634
2025-12-21,光伏扰动,0.05,1.05,91989.18224499999,0.0,58323.72916318267
2025-12-21,光伏扰动,0.1,1.1,90178.86976135802,0.0,56982.91924945077
2025-12-21,充放电效率,-0.1,0.81,96979.60300550474,0.0,63202.95593998543
2025-12-21,充放电效率,-0.05,0.855,95272.72695425771,0.0,61505.11742346516
2025-12-21,充放电效率,0.0,0.9,93770.21493971194,0.0,59672.546780370634
2025-12-21,充放电效率,0.05,0.9450000000000001,91783.14639425407,0.0,57784.70842712234
2025-12-21,充放电效率,0.1,0.9900000000000001,89640.1380772472,0.0,55794.54252812265
2025-12-21,紧急电价倍数,,3.0,93770.21493971194,0.0,59672.546780370634
2025-12-21,紧急电价倍数,,4.0,93770.21493971194,0.0,59672.546780370634
2025-12-21,紧急电价倍数,,5.0,93770.21493971194,0.0,59672.546780370634
2025-12-21,紧急电价倍数,,6.0,93770.21493971194,0.0,59672.546780370634
2025-12-21,紧急电价倍数,,7.0,93770.21493971194,0.0,59672.546780370634
