日期,小区负载电量_kWh,光伏实际电量_kWh,计划购电量_kWh,紧急购电量_kWh,充电量_kWh,放电量_kWh,弃光量_kWh,0:00储电量_kWh,24:00储电量_kWh,计划购电费_元,紧急购电费_元,总购电费_元,最大电能平衡残差_kWh,最大SOC递推残差_kWh,最大充电功率_kW,最大放电功率_kW,求解状态
2025-01-01,127286.15238333333,35250.98236666667,96853.44019506172,0.0,25359.31672839506,20541.04655,0.0,6000.0,6000.000000000002,61778.212383179496,0.0,61778.212383179496,2.2737367544323206e-13,0.0,5000.0,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-02,127657.07848333333,34771.83921666667,97716.68498333333,0.0,25428.661666666663,20597.215949999998,0.0,6000.0,6000.000000000002,62514.1874347,0.0,62514.1874347,2.2737367544323206e-13,0.0,5000.0,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-03,81883.55671666666,36378.61534999999,49567.02851604938,0.0,21379.406049382713,17317.3189,0.0,6000.0,6000.0000000000055,25862.568474702595,0.0,25862.568474702595,1.1368683772161603e-13,0.0,5000.0,3777.0474999999997,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-04,81891.73006666667,37126.1277,48829.22963415638,0.0,21387.51193415638,17323.884666666665,0.0,6000.0,6000.000000000004,25639.923802645986,0.0,25639.923802645986,1.5916157281026244e-12,0.0,5000.0,3820.582499999999,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-05,127674.11883333333,36638.408533333335,95844.12025637858,0.0,25307.420823045264,20499.010866666667,0.0,6000.0,6000.000000000002,61265.91007510396,0.0,61265.91007510396,2.2737367544323206e-13,0.0,5000.0,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-06,126826.69011666666,36194.20901666666,95366.59013333332,0.0,24916.36333333333,20182.2543,0.0,6000.0,6000.000000000001,60953.20908067499,0.0,60953.20908067499,2.2737367544323206e-13,0.0,5000.0,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-07,126927.46215,34360.5612,97417.3340664609,0.0,25528.59534979424,20678.162233333333,0.0,6000.0,6000.000000000002,62182.65356800331,0.0,62182.65356800331,2.2737367544323206e-13,0.0,5000.000000000001,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-08,126695.94395,37169.94263333333,94288.21830884773,0.0,25064.299958847736,20302.08296666667,0.0,6000.0,6000.000000000004,60205.65231981754,0.0,60205.65231981754,2.2737367544323206e-13,0.0,5000.0,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-09,127066.6182,35975.06208333334,95915.8294037037,0.0,25390.912037037036,20566.63875,0.0,6000.0,6000.000000000001,61262.8653165787,0.0,61262.8653165787,2.2737367544323206e-13,0.0,5000.0,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-10,81486.63841666667,35995.971699999995,49602.22554218107,0.0,21639.78329218107,17528.224466666667,0.0,6000.0,6000.000000000001,25846.829285757838,0.0,25846.829285757838,2.2737367544323206e-13,0.0,5000.0,3678.0862,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-11,81610.19496666666,36744.30835,48946.68565802469,0.0,21477.889691358025,17397.09065,0.0,6000.0,6000.000000000004,25510.14660504629,0.0,25510.14660504629,1.1368683772161603e-13,0.0,5000.0,3640.2300000000005,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-12,126519.32696666666,35653.438566666664,95627.80670905349,0.0,25062.72794238683,20300.809633333334,0.0,6000.0,6000.000000000001,60914.19058149756,0.0,60914.19058149756,1.9326762412674725e-12,0.0,5000.0,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-13,126980.35978333332,38706.40281666667,93019.60147469134,0.0,24977.07635802469,20231.43185,0.0,6000.0,6000.000000000001,58935.87735745246,0.0,58935.87735745246,2.2737367544323206e-13,0.0,5000.0,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
2025-01-14,127109.49061666666,37829.17768333333,94066.1230308642,0.0,25188.474197530864,20402.6641,0.0,6000.0,6000.000000000008,59821.84395650475,0.0,59821.84395650475,2.2737367544323206e-13,0.0,5000.0,5000.0,Optimization terminated successfully. (HiGHS Status 7: Optimal)
