日期,小区负载电量_kWh,光伏实际电量_kWh,计划购电量_kWh,调整购电量_kWh,调整净变化_kWh,上调购电量_kWh,下调购电量_kWh,紧急购电量_kWh,充电量_kWh,放电量_kWh,实际弃光量_kWh,计划购电费_元,调整费用_元,紧急购电费_元,总费用_元,0:00储电量_kWh,24:00储电量_kWh
2025-02-01,76305.20628333333,41927.03035,38221.338517078184,39589.71497695473,1368.3764598765483,1368.3764598765463,0.0,2415.7098499999975,17724.87241934156,14357.146659666663,4259.5231339465045,20623.88166965426,894.0912559747243,10178.19541855832,31696.168344187303,6000.0,6000.0
2025-02-02,121705.97265,43349.69469999999,84399.82723045268,84832.55183436215,432.72460390947526,432.724603909469,0.0,2384.643797666664,24737.68981769548,20037.52875233333,4160.7566166666675,52473.59891582315,483.51685206056004,11794.176222024322,64751.29198990803,6000.0,6000.000000000004
2025-02-03,122603.769,42386.85249999999,88036.56763333332,88036.56763333332,0.0,4.888534022029489e-12,1.4779288903810084e-12,1999.4574666666674,24432.402325102878,19790.245883333337,5176.952158230464,55026.69350106,1.0055350685433949e-11,10082.41905466667,65109.11255572668,6000.0,5999.999999999995
2025-02-04,121578.09884999998,40383.2349,89295.94271666666,89295.94271666667,1.4551915228366852e-11,2.2737367544323206e-12,0.0,2051.9629166666627,25027.010576131685,20271.87856666667,5397.9096738683165,56045.49893456833,4.256844476913102e-12,9513.142858258314,65558.64179282665,6000.0,6000.0
2025-02-05,121991.08443333334,41242.65745,84644.98419864608,86263.39263464608,1618.408435999998,1618.4084359999954,1.0231815394945443e-12,2470.5850333333333,24606.348333744863,19931.14215033334,3310.344501234562,52740.988818328595,1522.3334585535952,11592.491801866665,65855.81407874885,6000.0,6000.000000000001
2025-02-06,122252.1627,41981.10548333333,90656.13744897119,90656.13744897119,0.0,0.0,7.958078640513122e-13,2209.200739833328,24347.86935411523,19721.77417683334,7968.185794855964,56810.75382177823,4.998071290174266e-13,10837.024446140644,67647.77826791887,6000.0,5999.999999999999
2025-02-07,76168.59693333332,44362.91726666666,39553.82654218107,39553.82654218107,0.0,0.0,0.0,1820.0941999999995,18336.42338765433,14852.502944000003,6084.320631860086,21144.12139582062,0.0,8382.887419524997,29527.008815345616,6000.0,6000.0
2025-02-08,75746.78751666666,44169.6248,35425.13346152263,35844.04606152263,418.9126000000033,418.9126000000009,0.0,2468.7527833333334,17157.24041152263,13897.364733333332,3475.7604499999984,18787.698275624687,477.4550999175013,11268.21587155833,30533.36924710052,6000.0,5999.999999999998
2025-02-09,121547.90356666666,41992.48759999999,85970.8027563786,86331.0117703786,360.20901399999275,360.2090140000052,0.0,1887.1524351666685,23475.0959063786,19014.827684166667,4202.480016666673,53829.00157651148,428.4967719208102,8954.786660137343,63212.28500856963,6000.0,5999.999999999996
2025-02-10,121477.56451666665,47150.92693333333,81685.42790679011,82933.37679362137,1247.948886831262,1247.94888683127,1.5916157281026244e-12,2381.5214353333313,23219.623310288058,18807.894881333334,6576.532216666663,50509.65643215722,1411.9500529007046,11497.675420617657,63419.28190567558,6000.0,6000.0
